"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"THIERRY MARIANI",277,"THIERRY MARIANI",16.6433169770932,"EMILE BLESSIG",1,"ALAIN BOCQUET",1
2,"GEORGES COLOMBIER",186,"GEORGES COLOMBIER",13.6381816969859,"PASCALE GRUNY",1,"ALAIN CORTADE",1
3,"PATRICK BEAUDOUIN",137,"PATRICK BEAUDOUIN",11.7046999107196,"AIME KERGUERIS",1,"ALAIN MARSAUD",1
4,"MARIE JO ZIMMERMANN",134,"MARIE JO ZIMMERMANN",11.5758369027902,"ALAIN BOCQUET",1,"ALAIN SUGUENOT",1
5,"MICHEL RAISON",131,"MICHEL RAISON",11.4455231422596,"ALAIN CLAEYS",1,"ALAIN VENOT",1
6,"JEAN PIERRE DECOOL",105,"JEAN PIERRE DECOOL",10.2469507659596,"ALAIN CORTADE",1,"ANDRE CHASSAIGNE",1
7,"MICHEL DIEFENBACHER",86,"MICHEL DIEFENBACHER",9.2736184954957,"ALAIN GOURIOU",1,"ANDRE VALLINI",1
8,"FRANCOIS CORNUT GENTILLE",81,"FRANCOIS CORNUT GENTILLE",9,"ALAIN JOYANDET",1,"ARLETTE FRANCO",1
9,"CHRISTIAN MENARD",78,"CHRISTIAN MENARD",8.83176086632785,"ALAIN MARSAUD",1,"BEATRICE PAVY",1
10,"CHRISTIAN PHILIP",75,"CHRISTIAN PHILIP",8.66025403784439,"ALAIN MOYNE BRESSAND",1,"BERENGERE POLETTI",1
11,"MICHEL BOUVARD",75,"MICHEL BOUVARD",8.66025403784439,"ALAIN NERI",1,"BERNARD DEPIERRE",1
12,"HUGUES MARTIN",73,"HUGUES MARTIN",8.54400374531753,"ALAIN SUGUENOT",1,"CHANTAL BRUNEL",1
13,"MICHEL LEJEUNE",72,"MICHEL LEJEUNE",8.48528137423857,"ALAIN VENOT",1,"CHRISTIAN BLANC",1
14,"FRANCOIS BROTTES",71,"FRANCOIS BROTTES",8.42614977317636,"ALAIN VIDALIES",1,"CHRISTIAN KERT",1
15,"MARC FUR",70,"MARC FUR",8.36660026534076,"ALFRED ALMONT",1,"CLAUDE BIRRAUX",1
16,"LIONNEL LUCA",65,"LIONNEL LUCA",8.06225774829855,"ANDRE CHASSAIGNE",1,"DANIEL PAUL",1
17,"JACQUES PELISSARD",65,"JACQUES PELISSARD",8.06225774829855,"ANDRE FLAJOLET",1,"DINO CINIERI",1
18,"MICHEL ROUMEGOUX",61,"MICHEL ROUMEGOUX",7.81024967590665,"ANDRE SANTINI",1,"EDOUARD COURTIAL",1
19,"DOMINIQUE TIAN",55,"DOMINIQUE TIAN",7.41619848709566,"ANDRE SCHNEIDER",1,"FRANCK GILARD",1
20,"JEAN GAUBERT",54,"JEAN GAUBERT",7.34846922834953,"ANDRE VALLINI",1,"FRANCOIS ASENSI",1
21,"GUY TEISSIER",53,"GUY TEISSIER",7.28010988928052,"ANNE MARIE COMPARINI",1,"FRANCOIS LIBERTI",1
22,"PHILIPPE VITEL",52,"PHILIPPE VITEL",7.21110255092798,"ANNICK LEPETIT",1,"FREDERIC SOULIER",1
23,"JEAN YVES BOUILLONNEC",51,"JEAN YVES BOUILLONNEC",7.14142842854285,"ANTOINE CARRE",1,"GENEVIEVE LEVY",1
24,"JEAN PIERRE BLAZY",49,"JEAN PIERRE BLAZY",7,"ARLETTE FRANCO",1,"JEAN DIEBOLD",1
25,"DANIEL GARRIGUE",48,"DANIEL GARRIGUE",6.92820323027551,"ARLETTE GROSSKOST",1,"JEAN JACQUES DESCAMPS",1
26,"JEAN YVES DEAUT",45,"JEAN YVES DEAUT",6.70820393249937,"ARMAND JUNG",1,"JEAN LUC WARSMANN",1
27,"YVAN LACHAUD",44,"PATRICK BLOCHE",6.557438524302,"ARNAUD MONTEBOURG",1,"JEAN PIERRE NICOLAS",1
28,"PATRICK BLOCHE",43,"JEAN MARIE BINETRUY",6.48074069840786,"BEATRICE PAVY",1,"JEAN PRORIOL",1
29,"JEAN MARIE BINETRUY",42,"JEAN PIERRE BALLIGAND",6.40312423743285,"BEATRICE VERNAUDON",1,"JEAN YVES BESSELAT",1
30,"JEAN PIERRE BALLIGAND",41,"PHILIPPE FENEUIL",6.40312423743285,"BERENGERE POLETTI",1,"JEAN YVES COUSIN",1
31,"PHILIPPE FENEUIL",41,"DIDIER MATHUS",6.32455532033676,"BERNARD ACCOYER",1,"JEROME RIVIERE",1
32,"DIDIER MATHUS",40,"JEAN LOUIS CHRIST",6.32455532033676,"BERNARD CARAYON",1,"JOSIANE BOYCE",1
33,"JEAN LOUIS CHRIST",40,"MARTIAL SADDIER",6.32455532033676,"BERNARD DEPIERRE",1,"JULIANA RIMANE",1
34,"MARTIAL SADDIER",40,"RODOLPHE THOMAS",6.32455532033676,"BERNARD DEROSIER",1,"JULIEN DRAY",1
35,"RODOLPHE THOMAS",40,"GERARD BAPT",6.31995731513404,"BERNARD PERRUT",1,"MANSOUR KAMARDINE",1
36,"GERARD BAPT",40,"AUGUSTIN BONREPAUX",6.2449979983984,"BERNARD ROMAN",1,"MARIE RENEE OGET",1
37,"AUGUSTIN BONREPAUX",39,"DIDIER MIGAUD",6.08276253029822,"BERTHO AUDIFAX",1,"MARTINE AURILLAC",1
38,"DIDIER MIGAUD",37,"JEAN CLAUDE VIOLLET",6.08276253029822,"BRIGITTE BAREGES",1,"MICHEL DASSEUX",1
39,"JEAN CLAUDE VIOLLET",37,"LOUIS GISCARD ESTAING",6.08276253029822,"BRUNO BOURG BROC",1,"MICHEL HEINRICH",1
40,"LOUIS GISCARD ESTAING",37,"GAETAN GORCE",6.08276253029822,"BRUNO GILLES",1,"MICHEL LIEBGOTT",1
