"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"GERARD BAILLY",167,"GERARD BAILLY",12.9228479833201,"JEAN MARIE BOCKEL",1,"ADRIEN GIRAUD",1
2,"GERARD CESAR",112,"GERARD CESAR",10.5830052442584,"ADELINE GOUSSEAU",1,"ANDRE DULAIT",1
3,"ROLAND COURTEAU",100,"ROLAND COURTEAU",10,"ADRIEN GIRAUD",1,"ANNICK BOCANDE",1
4,"JEAN LOUIS MASSON",84,"JEAN LOUIS MASSON",9.16515138991168,"ADRIEN GOUTEYRON",1,"BERTRAND AUBAN",1
5,"PIERRE JARLIER",84,"PIERRE JARLIER",9.16515138991168,"ALAIN DUFAUT",1,"HILAIRE FLANDRE",1
6,"CLAUDE DOMEIZEL",80,"CLAUDE DOMEIZEL",8.94427190999916,"ALAIN FOUCHE",1,"JACKIE PIERRE",1
7,"LADISLAS PONIATOWSKI",78,"LADISLAS PONIATOWSKI",8.83176086632785,"ALAIN GERARD",1,"JEAN FRANCOIS PICHERAL",1
8,"MICHEL CHARASSE",74,"MICHEL CHARASSE",8.60232526704263,"ALAIN GOURNAC",1,"JEAN JACQUES JEGOU",1
9,"JEAN PIERRE SUEUR",71,"JEAN PIERRE SUEUR",8.42614977317636,"ALAIN JOYANDET",1,"JOEL BOURDIN",1
10,"DOMINIQUE BRAYE",69,"DOMINIQUE BRAYE",8.30662386291807,"ALAIN LAMBERT",1,"JOSEPH KERGUERIS",1
11,"JEAN PIERRE GODEFROY",68,"JEAN PIERRE GODEFROY",8.24621125123532,"ALAIN VASSELLE",1,"MICHEL CALDAGUES",1
12,"JOELLE GARRIAUD MAYLAM",68,"JOELLE GARRIAUD MAYLAM",8.24621125123532,"ALEX TURK",1,"MICHEL ESNEU",1
13,"MICHELE ANDRE",68,"MICHELE ANDRE",8.24621125123532,"ALIMA BOUMEDIENE THIERY",1,"MICHEL PELCHAT",1
