"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"ALAIN NERI",188,"ALAIN NERI",13.7113092008021,"ALAIN MARLEIX",1,"ALOYSE WARHOUVER",1
2,"MICHEL HUNAULT",131,"MICHEL HUNAULT",11.4455231422596,"ALAIN NERI",1,"HERVE MORIN",1
3,"GEORGES TRON",128,"GEORGES TRON",11.3137084989848,"ALAIN TOURRET",1,"LIONNEL LUCA",1
4,"CHRISTIAN ESTROSI",124,"CHRISTIAN ESTROSI",11.13552872566,"ALOYSE WARHOUVER",1,"MARC DUMOULIN",1
5,"PIERRE CHRISTOPHE BAGUET",118,"PIERRE CHRISTOPHE BAGUET",10.8627804912002,"ANDRE ASCHIERI",1,"MARTINE AURILLAC",1
6,"BERNARD ACCOYER",114,"BERNARD ACCOYER",10.6770782520313,"BERNARD ACCOYER",1,"YVES BUR",1
7,"GERMAIN GENGENWIN",114,"GERMAIN GENGENWIN",10.6770782520313,"BERNARD BIRSINGER",1,"HERVE GAYMARD",0.707106781186548
8,"JEAN MICHEL FERRAND",104,"JEAN MICHEL FERRAND",10.1980390271856,"BERNARD CHARLES",1,"JACQUES FLOCH",0.707106781186548
9,"JACQUES KOSSOWSKI",96,"JACQUES KOSSOWSKI",9.79795897113271,"BERNARD DEFLESSELLES",1,"JEAN GARREC",0.707106781186548
10,"BERNARD DEFLESSELLES",95,"BERNARD DEFLESSELLES",9.74679434480896,"BERNARD PERRUT",1,"JEAN LOUIS DEBRE",0.707106781186548
11,"MICHEL TERROT",95,"MICHEL TERROT",9.74679434480896,"BERNARD SCHREINER",1,"JEAN PIERRE MICHEL",0.707106781186548
12,"YVES NICOLIN",90,"YVES NICOLIN",9.48683298050514,"CAMILLE DARSIERES",1,"MICHEL BUILLARD",0.707106781186548
13,"ALAIN MARLEIX",86,"ALAIN MARLEIX",9.2736184954957,"CHARLES COVA",1,"JEAN LEONETTI",0.577350269189626
14,"ETIENNE PINTE",84,"ETIENNE PINTE",9.16515138991168,"CHRISTIAN ESTROSI",1,"MICHEL INCHAUSPE",0.577350269189626
15,"HENRI CUQ",84,"HENRI CUQ",9.16515138991168,"CLAUDE BIRRAUX",1,"BERNARD BIRSINGER",0.5
16,"CHARLES COVA",80,"CHARLES COVA",8.94427190999916,"CLAUDE GATIGNOL",1,"CAMILLE DARSIERES",0.5
17,"CLAUDE GATIGNOL",75,"CLAUDE GATIGNOL",8.66025403784439,"CLAUDE GOASGUEN",1,"MARIE HELENE AUBERT",0.5
18,"PIERRE LASBORDES",75,"PIERRE LASBORDES",8.66025403784439,"DIDIER JULIA",1,"JEAN CLAUDE PEREZ",0.447213595499958
19,"GILLES ROBIEN",73,"GILLES ROBIEN",8.54400374531753,"DOMINIQUE PAILLE",1,"MICHEL SUCHOD",0.447213595499958
20,"BERNARD PERRUT",71,"BERNARD PERRUT",8.42614977317636,"EDOUARD LANDRAIN",1,"GEORGES SARRE",0.408248290463863
21,"PIERRE ANDRE WILTZER",70,"PIERRE ANDRE WILTZER",8.36660026534076,"EMILE BLESSIG",1,"FRANCK DHERSIN",0.377964473009227
22,"JEAN MICHEL DUBERNARD",69,"JEAN MICHEL DUBERNARD",8.30662386291807,"ETIENNE PINTE",1,"GERARD FUCHS",0.353553390593274
23,"ANDRE ASCHIERI",64,"ANDRE ASCHIERI",8,"FRANCK DHERSIN",1,"PHILIPPE ARMAND MARTIN",0.316227766016838
24,"THIERRY MARIANI",64,"THIERRY MARIANI",8,"FRANCOIS GOULARD",1,"CLAUDE GOASGUEN",0.288675134594813
25,"JACQUES GODFRAIN",62,"JACQUES GODFRAIN",7.87400787401181,"GEORGES SARRE",1,"JACQUES REBILLARD",0.288675134594813
26,"DIDIER JULIA",59,"DIDIER JULIA",7.68114574786861,"GEORGES TRON",1,"ALAIN TOURRET",0.277350098112615
27,"FRANCOIS GOULARD",55,"FRANCOIS GOULARD",7.41619848709566,"GERARD FUCHS",1,"GUY TEISSIER",0.258198889747161
28,"JEAN CLAUDE GUIBAL",55,"JEAN CLAUDE GUIBAL",7.41619848709566,"GERARD HAMEL",1,"DOMINIQUE PAILLE",0.25
29,"BERNARD SCHREINER",52,"BERNARD SCHREINER",7.21110255092798,"GERMAIN GENGENWIN",1,"JEAN CLAUDE THOMAS",0.242535625036333
30,"GERARD HAMEL",51,"GERARD HAMEL",7.14142842854285,"GILLES ROBIEN",1,"JEAN TIBERI",0.242535625036333
31,"NICOLAS FORISSIER",45,"NICOLAS FORISSIER",6.70820393249937,"GUY TEISSIER",1,"MICHEL BOUVARD",0.223606797749979
32,"JACQUES MASDEU ARUS",40,"JACQUES MASDEU ARUS",6.32455532033676,"HENRI CUQ",1,"EDOUARD LANDRAIN",0.21320071635561
33,"PIERRE ALBERTINI",39,"PIERRE ALBERTINI",6.2449979983984,"HERVE GAYMARD",1,"BERNARD CHARLES",0.196116135138184
34,"CLAUDE BIRRAUX",36,"CLAUDE BIRRAUX",6,"HERVE MORIN",1,"MICHEL VOISIN",0.185695338177052
35,"EMILE BLESSIG",33,"EMILE BLESSIG",5.74456264653803,"JACQUES FLOCH",1,"EMILE BLESSIG",0.174077655955698
36,"MICHEL VOISIN",29,"MICHEL VOISIN",5.3851648071345,"JACQUES GODFRAIN",1,"CLAUDE BIRRAUX",0.166666666666667
37,"BERNARD CHARLES",26,"BERNARD CHARLES",5.09901951359279,"JACQUES KOSSOWSKI",1,"PIERRE ALBERTINI",0.160128153805087
38,"EDOUARD LANDRAIN",22,"EDOUARD LANDRAIN",4.69041575982343,"JACQUES MASDEU ARUS",1,"JACQUES MASDEU ARUS",0.158113883008419
39,"MICHEL BOUVARD",20,"MICHEL BOUVARD",4.47213595499958,"JACQUES REBILLARD",1,"NICOLAS FORISSIER",0.149071198499986
40,"JEAN CLAUDE THOMAS",17,"JEAN CLAUDE THOMAS",4.12310562561766,"JEAN CLAUDE GUIBAL",1,"GERARD HAMEL",0.140028008402801
41,"JEAN TIBERI",17,"JEAN TIBERI",4.12310562561766,"JEAN CLAUDE PEREZ",1,"BERNARD SCHREINER",0.138675049056307
42,"DOMINIQUE PAILLE",16,"DOMINIQUE PAILLE",4,"JEAN CLAUDE THOMAS",1,"FRANCOIS GOULARD",0.134839972492648
43,"GUY TEISSIER",15,"GUY TEISSIER",3.87298334620742,"JEAN GARREC",1,"JEAN CLAUDE GUIBAL",0.134839972492648
44,"ALAIN TOURRET",13,"ALAIN TOURRET",3.60555127546399,"JEAN LEONETTI",1,"DIDIER JULIA",0.130188910980824
45,"CLAUDE GOASGUEN",12,"CLAUDE GOASGUEN",3.46410161513775,"JEAN LOUIS DEBRE",1,"JACQUES GODFRAIN",0.127000127000191
46,"JACQUES REBILLARD",12,"JACQUES REBILLARD",3.46410161513775,"JEAN MICHEL DUBERNARD",1,"ANDRE ASCHIERI",0.125
47,"PHILIPPE ARMAND MARTIN",10,"PHILIPPE ARMAND MARTIN",3.16227766016838,"JEAN MICHEL FERRAND",1,"THIERRY MARIANI",0.125
48,"GERARD FUCHS",8,"GERARD FUCHS",2.82842712474619,"JEAN PIERRE MICHEL",1,"JEAN MICHEL DUBERNARD",0.120385853085769
49,"FRANCK DHERSIN",7,"FRANCK DHERSIN",2.64575131106459,"JEAN TIBERI",1,"PIERRE ANDRE WILTZER",0.119522860933439
50,"GEORGES SARRE",6,"GEORGES SARRE",2.44948974278318,"LIONNEL LUCA",1,"BERNARD PERRUT",0.118678165819385
51,"JEAN CLAUDE PEREZ",5,"JEAN CLAUDE PEREZ",2.23606797749979,"MARC DUMOULIN",1,"GILLES ROBIEN",0.117041147196131
