"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"ROLAND NUNGESSER",200,"JOSEPH HENRI MAUJOUAN GASSET",16.5435204079442,"JOSEPH HENRI MAUJOUAN GASSET",2.08922188922189,"AUGUSTE LEGROS",1
2,"FRANCOIS ROCHEBLOINE",187,"ROLAND NUNGESSER",16.1768236532332,"MICHEL PERICARD",1.96740009240009,"BERNARD PONS",1
3,"JEAN LOUIS MASSON",170,"MICHEL PERICARD",14.2352453269064,"LOUIS COLOMBANI",1.96320346320346,"CHARLES MIOSSEC",1
4,"CHRISTINE BOUTIN",170,"FRANCOIS ROCHEBLOINE",13.6747943311773,"MARTINE DAUGREILH",1.94390816378946,"ALAIN LAMASSOURE",0.707106781186548
5,"PASCAL CLEMENT",162,"JEAN LOUIS MASSON",13.0290640562704,"MARC PHILIPPE DAUBRESSE",1.47793679189028,"CLAUDE BARATE",0.707106781186548
6,"JEAN PAUL FUCHS",157,"RENE COUANAU",12.6632535842109,"YANN PIAT",1.46964176829268,"ANDRE DURR",0.577350269189626
7,"FRANCOIS HARCOURT",155,"JEAN PAUL FUCHS",12.5762096171247,"RENE COUANAU",1.44466658863091,"ARTHUR DEHAINE",0.577350269189626
8,"PIERRE ANDRE WILTZER",153,"JEAN BROCARD",12.5078822486404,"ROLAND NUNGESSER",1.30844811753903,"EMMANUEL AUBERT",0.577350269189626
9,"FRANCISQUE PERRUT",150,"FRANCOIS HARCOURT",12.4498995979887,"MONIQUE PAPON",1.23359788359788,"LOUIS COLOMBANI",0.519839111346673
10,"JEAN LUC PREEL",147,"JEAN LUC PREEL",12.2643721000649,"JEAN BROCARD",1.2318670735894,"ROBERT GALLEY",0.448456430430439
11,"MICHEL PELCHAT",142,"FRANCISQUE PERRUT",12.2474487139159,"SERGE CHARLES",1.22352941176471,"DANIEL COLIN",0.447213595499958
12,"PHILIPPE VASSEUR",138,"MICHEL PELCHAT",11.9724653441036,"JEAN DESANLIS",1.14539007092199,"BRUNO BOURG BROC",0.377964473009227
13,"BERNARD BOSSON",137,"RUDY SALLES",11.9170948842705,"RUDY SALLES",1.14529960065086,"LAURENT FABIUS",0.357930432319751
14,"CHARLES MILLON",136,"BERNARD BOSSON",11.7046999107196,"JEAN TIBERI",1.08035714285714,"MARTINE DAUGREILH",0.344205472407754
15,"BERNARD DEBRE",135,"PHILIPPE VASSEUR",11.6656296252506,"PIERRE REMY HOUSSIN",1.05740519964658,"JEAN CLAUDE BOULARD",0.331693748712712
16,"JOSEPH HENRI MAUJOUAN GASSET",131,"CHARLES MILLON",11.6619037896906,"JEAN PIERRE PHILIBERT",1.04945697577277,"JEAN PIERRE DELALANDE",0.324573066574564
17,"GEORGES COLOMBIER",131,"BERNARD DEBRE",11.6035708789518,"PATRICK DEVEDJIAN",1.04928315412186,"MARC PHILIPPE DAUBRESSE",0.312771246566623
18,"DENIS JACQUAT",129,"JEAN JACQUES JEGOU",11.3137873288976,"JEAN LUC REITZER",1.03382352941176,"JEAN FRANCOIS MANCEL",0.312052929804782
19,"JEAN JACQUES JEGOU",128,"JEAN BRIANE",11.2694276695846,"PIERRE MAZEAUD",1.03261539355889,"JEAN YVES AUTEXIER",0.304250171392073
20,"JEAN BROCARD",127,"MICHEL GIRAUD",11.2122875385035,"JEAN LUC PREEL",1.02323008849558,"JEAN TIBERI",0.289938168994307
21,"JEAN BRIANE",127,"JEAN PAUL CHARIE",11.2078398191258,"JEAN PIERRE DELALANDE",1.0175169499618,"GUY DRUT",0.288675134594813
22,"ELISABETH HUBERT",125,"ELISABETH HUBERT",11.1391598584876,"MICHEL GIRAUD",1.01383380521033,"MICHEL PERICARD",0.271907019140714
23,"RUDY SALLES",124,"MARTINE DAUGREILH",10.9782651705516,"JEAN PAUL CHARIE",1.01302962428373,"HENRY JEAN BAPTISTE",0.267261241912424
24,"MICHEL GIRAUD",124,"MONIQUE PAPON",10.8255161051009,"JEAN SEITLINGER",1.00986842105263,"JOSEPH HENRI MAUJOUAN GASSET",0.263840343214245
25,"JEAN PAUL CHARIE",124,"GILBERT GANTIER",10.770329614269,"MICHEL PELCHAT",1.00943610151945,"SERGE CHARLES",0.260459221594835
26,"CLAUDE BIRRAUX",117,"PIERRE REMY HOUSSIN",10.6864288497997,"JEAN YVES HABY",1.00904465799887,"ADRIEN DURAND",0.258198889747161
27,"GILBERT GANTIER",116,"PATRICK DEVEDJIAN",10.5462796443541,"JEAN PAUL FUCHS",1.00739521231758,"JEAN SEITLINGER",0.2537097728463
28,"RENE COUANAU",111,"YANN PIAT",10.49872052309,"JEAN JACQUES WEBER",1.00705128205128,"JEAN MARIE CARO",0.251007515993308
29,"CHRISTIAN ESTROSI",109,"CHRISTIAN ESTROSI",10.4164429199714,"LOUIS BROISSIA",1.00597455283054,"JEAN LUC REITZER",0.247761239999753
30,"PIERRE REMY HOUSSIN",108,"JACQUES MASDEU ARUS",10.3923048454133,"MICHEL JACQUEMIN",1.00507246376812,"ALBERT BROCHARD",0.242535625036333
31,"JACQUES MASDEU ARUS",108,"GERARD VIGNOBLE",10.3440804327886,"ROBERT GALLEY",1.00185185185185,"BERNARD SCHREINER",0.242535625036333
32,"LEONCE DEPREZ",108,"ANDRE SANTINI",10.295630140987,"JEAN JACQUES JEGOU",1.00001393534002,"CHARLES EHRMANN",0.21320071635561
33,"GERARD VIGNOBLE",107,"JEAN PIERRE PHILIBERT",9.87924585921755,"ADRIEN ZELLER",1,"YANN PIAT",0.205724775924862
34,"PATRICK DEVEDJIAN",106,"JEAN JACQUES WEBER",9.41384686621324,"ALAIN GRIOTTERAY",1,"FABIEN THIEME",0.204124145231932
35,"ANDRE SANTINI",106,"JEAN DESANLIS",9.33003994579181,"ALAIN JONEMANN",1,"FRANCIS GENG",0.204124145231932
36,"MICHEL PERICARD",103,"PAUL LOUIS TENAILLON",9.16137391397037,"ALAIN LAMASSOURE",1,"JEAN JACQUES HYEST",0.189635641606951
37,"CLAUDE GAILLARD",101,"GERMAIN GENGENWIN",9.05538513813742,"ALBERT BROCHARD",1,"FRANCIS SAINT ELLIER",0.182574185835055
38,"MONIQUE PAPON",95,"PASCAL CLEMENT",9.03525625957786,"ANDRE BERTHOL",1,"JACQUES GODFRAIN",0.176776695296637
39,"JEAN PIERRE PHILIBERT",93,"CLAUDE WOLFF",8.77496438739212,"ANDRE DURR",1,"CHRISTIANE PAPON",0.174077655955698
40,"JEAN JACQUES WEBER",88,"EDOUARD BALLADUR",8.68789111665164,"ANDRE ROSSI",1,"JEAN MICHEL COUVE",0.171061322504985
41,"PAUL LOUIS TENAILLON",86,"HENRI GASTINES",8.66025403784439,"ANDRE SANTINI",1,"EMILE KOEHL",0.166666666666667
42,"GERMAIN GENGENWIN",82,"LOUIS BROISSIA",8.62798452186023,"ARTHUR DEHAINE",1,"AMBROISE GUELLEC",0.166666666666667
43,"CLAUDE WOLFF",77,"PIERRE ANDRE WILTZER",8.62077986353177,"ARTHUR PAECHT",1,"RENE COUANAU",0.164812426634866
44,"JEAN DESANLIS",76,"MICHEL JACQUEMIN",8.56564590997506,"AUGUSTE LEGROS",1,"HENRI BAYARD",0.156173761888606
45,"EDOUARD BALLADUR",76,"GEORGES MESMIN",8.48528137423857,"BERNARD BOSSON",1,"LUCETTE MICHAUX CHEVRY",0.15064176579419
46,"YANN PIAT",75,"MICHEL MEYLAN",8.36779623333542,"BERNARD PONS",1,"JOSE ROSSI",0.148987208849984
47,"HENRI GASTINES",75,"GILLES ROBIEN",8.36660026534076,"BERNARD SCHREINER",1,"ANDRE ROSSI",0.145864991497895
48,"LOUIS BROISSIA",74,"ARTHUR PAECHT",8.24621125123532,"BRUNO BOURG BROC",1,"JEAN DESANLIS",0.140612304147572
49,"JEAN FRANCOIS MATTEI",74,"CHRISTINE BOUTIN",8.23247919303262,"BRUNO DURIEUX",1,"LEON VACHET",0.140593038556733
50,"MICHEL JACQUEMIN",73,"MICHEL NOIR",8.23199449576187,"CHARLES EHRMANN",1,"MONIQUE PAPON",0.140571934274813
51,"GEORGES MESMIN",72,"ADRIEN ZELLER",8.18535277187245,"CHARLES MILLON",1,"BRUNO DURIEUX",0.137360563948689
52,"MICHEL MEYLAN",71,"JACQUES FARRAN",8.18535277187245,"CHARLES MIOSSEC",1,"ROSELYNE BACHELOT NARQUIN",0.136056318532977
53,"GILLES ROBIEN",70,"PIERRE MAZEAUD",8.06565371152332,"CHRISTIANE PAPON",1,"ALAIN GRIOTTERAY",0.133630620956212
54,"MICHEL NOIR",69,"FRANCOIS GRUSSENMEYER",8.06225774829855,"CLAUDE BARATE",1,"JACQUES TOUBON",0.133630620956212
55,"ARTHUR PAECHT",68,"ALAIN JONEMANN",7.87400787401181,"CLAUDE WOLFF",1,"PIERRE MAZEAUD",0.132201875898958
