"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"JEAN MARC AYRAULT",256,"JEAN MARC AYRAULT",16,"ADRIEN ZELLER",1,"CHARLES MILLON",1
2,"BERNARD ACCOYER",189,"BERNARD ACCOYER",13.7477270848675,"ALAIN BOCQUET",1,"CLAUDE EVIN",1
3,"ALAIN NERI",188,"ALAIN NERI",13.7113092008021,"ALAIN MARLEIX",1,"DANIEL CHEVALLIER",1
4,"PIERRE HELLIER",186,"FRANCOIS SAUVADET",13.1909059582729,"ALAIN NERI",1,"GERARD LINDEPERG",1
5,"YVES NICOLIN",175,"JEAN MICHEL FERRAND",13.1529464379659,"ANDRE ANGOT",1,"KOFI YAMGNANE",1
6,"FRANCOIS SAUVADET",174,"PHILIPPE VASSEUR",12.7279220613579,"ANDRE ASCHIERI",1,"MARTINE AURILLAC",1
7,"JEAN MICHEL FERRAND",173,"JEAN LUC REITZER",12.2065556157337,"ANDRE BERTHOL",1,"ODILE SAUGUES",1
8,"BERNARD PERRUT",166,"ERIC DOLIGE",12,"ANDRE SANTINI",1,"PIERRE MAZEAUD",1
9,"PHILIPPE VASSEUR",162,"ANDRE SANTINI",11.7898261225516,"ARTHUR PAECHT",1,"THIERRY LAZARO",1
10,"MICHEL HUNAULT",153,"FRANCOIS ROCHEBLOINE",11.7473401244707,"BERNARD ACCOYER",1,"JACQUES FLOCH",0.707106781186548
11,"GUY TEISSIER",152,"MICHEL TERROT",11.7473401244707,"BERNARD BIRSINGER",1,"JEAN GARREC",0.707106781186548
12,"JEAN LUC REITZER",149,"CHRISTIAN ESTROSI",11.5758369027902,"BERNARD DEFLESSELLES",1,"JEAN PIERRE DELALANDE",0.707106781186548
13,"JOEL SARLOT",146,"GERMAIN GENGENWIN",11.5325625946708,"BERNARD MADRELLE",1,"LAURENT FABIUS",0.707106781186548
14,"ERIC DOLIGE",144,"CHARLES COVA",11.4891252930761,"BERNARD SCHREINER",1,"PHILIPPE SEGUIN",0.707106781186548
15,"ANDRE SANTINI",139,"LAURENT DOMINATI",11.4891252930761,"CAMILLE DARSIERES",1,"PIERRE LELLOUCHE",0.707106781186548
16,"FRANCOIS ROCHEBLOINE",138,"JEAN MICHEL DUBERNARD",11.4455231422596,"CATHERINE PICARD",1,"ROBERT PANDRAUD",0.707106781186548
17,"MICHEL TERROT",138,"JEAN GAULLE",11.4455231422596,"CHARLES COURSON",1,"CATHERINE PICARD",0.577350269189626
18,"PIERRE ANDRE WILTZER",135,"GEORGES TRON",11.3137084989848,"CHARLES COVA",1,"EDOUARD BALLADUR",0.577350269189626
19,"PIERRE CHRISTOPHE BAGUET",135,"BERNARD DEFLESSELLES",11.1803398874989,"CHARLES MILLON",1,"MICHEL BUILLARD",0.577350269189626
20,"CHRISTIAN ESTROSI",134,"GILBERT MEYER",11.1803398874989,"CHRISTIAN ESTROSI",1,"NICOLAS SARKOZY",0.577350269189626
21,"GERMAIN GENGENWIN",133,"JACQUES KOSSOWSKI",10.7238052947636,"CLAUDE EVIN",1,"BERNARD BIRSINGER",0.5
22,"CHARLES COVA",132,"GUY DRUT",10.5830052442584,"DANIEL CHEVALLIER",1,"CAMILLE DARSIERES",0.5
23,"LAURENT DOMINATI",132,"JACQUES PELISSARD",10.4403065089106,"DIDIER JULIA",1,"JEAN MICHEL MARCHAND",0.5
24,"JEAN MICHEL DUBERNARD",131,"RENAUD MUSELIER",10.3923048454133,"DIDIER QUENTIN",1,"LIONNEL LUCA",0.5
25,"JEAN GAULLE",131,"GERARD HAMEL",10.295630140987,"EDOUARD BALLADUR",1,"PATRICK DELNATTE",0.5
26,"GEORGES TRON",128,"HENRI CUQ",10.295630140987,"EMILE BLESSIG",1,"GUY HASCOET",0.447213595499958
27,"BERNARD DEFLESSELLES",125,"JEAN CLAUDE GUIBAL",10.1488915650922,"ERIC DOLIGE",1,"JEAN CLAUDE PEREZ",0.447213595499958
28,"GILBERT MEYER",125,"DIDIER QUENTIN",10.0498756211209,"ETIENNE PINTE",1,"JEAN PIERRE BRARD",0.447213595499958
29,"CHRISTIAN KERT",122,"ANDRE ANGOT",9.9498743710662,"FRANCK DHERSIN",1,"JEAN LOUIS DEBRE",0.447213595499958
30,"JACQUES KOSSOWSKI",115,"JEAN PIERRE FOUCHER",9.9498743710662,"FRANCOIS CORNUT GENTILLE",1,"MARIE HELENE AUBERT",0.447213595499958
31,"GUY DRUT",112,"JEAN UEBERSCHLAG",9.79795897113271,"FRANCOIS LEOTARD",1,"JEAN CLAUDE BOULARD",0.408248290463863
32,"DOMINIQUE BUSSEREAU",111,"LOUIS BROISSIA",9.79795897113271,"FRANCOIS LIBERTI",1,"MAXIME GREMETZ",0.408248290463863
33,"JACQUES PELISSARD",109,"MAURICE LEROY",9.48683298050514,"FRANCOIS ROCHEBLOINE",1,"PAUL QUILES",0.408248290463863
34,"RENAUD MUSELIER",108,"ALAIN MARLEIX",9.2736184954957,"FRANCOIS SAUVADET",1,"FRANCK DHERSIN",0.377964473009227
35,"DOMINIQUE PAILLE",108,"ETIENNE PINTE",9.16515138991168,"GEORGES LEMOINE",1,"FRANCOIS CORNUT GENTILLE",0.377964473009227
36,"GERARD HAMEL",106,"HERVE GAYMARD",9.05538513813742,"GEORGES TRON",1,"JEAN PIERRE MICHEL",0.353553390593274
37,"HENRI CUQ",106,"ANDRE ASCHIERI",8.94427190999916,"GERARD FUCHS",1,"GERARD FUCHS",0.333333333333333
38,"CLAUDE GAILLARD",105,"JACQUES GODFRAIN",8.94427190999916,"GERARD HAMEL",1,"JEAN MARIE GUEN",0.333333333333333
39,"JEAN CLAUDE GUIBAL",103,"VALERY GISCARD ESTAING",8.94427190999916,"GERARD LINDEPERG",1,"PHILIPPE ARMAND MARTIN",0.316227766016838
40,"DIDIER QUENTIN",101,"MICHEL BOUVARD",8.83176086632785,"GERMAIN GENGENWIN",1,"BERNARD MADRELLE",0.288675134594813
41,"ANDRE ANGOT",99,"ARTHUR PAECHT",8.77496438739212,"GILBERT GANTIER",1,"JEAN PONTIER",0.288675134594813
42,"JEAN PIERRE FOUCHER",99,"HENRI SICRE",8.71779788708135,"GILBERT MEYER",1,"JEAN LOUIS MASSON",0.267261241912424
43,"JEAN UEBERSCHLAG",96,"PIERRE LASBORDES",8.66025403784439,"GILLES ROBIEN",1,"JEAN CLAUDE THOMAS",0.242535625036333
44,"LOUIS BROISSIA",96,"JACQUES MASDEU ARUS",8.60232526704263,"GUY DRUT",1,"JEAN TIBERI",0.242535625036333
45,"JACQUES NAY",95,"GILBERT GANTIER",8.54400374531753,"GUY HASCOET",1,"JEAN BRIANE",0.21320071635561
46,"MAURICE LEROY",90,"GILLES ROBIEN",8.54400374531753,"HENRI CUQ",1,"JACQUES REBILLARD",0.188982236504614
47,"MICHEL VOISIN",88,"JEAN JACQUES WEBER",8.54400374531753,"HENRI SICRE",1,"JEAN CLAUDE LEMOINE",0.188982236504614
48,"ALAIN MARLEIX",86,"PIERRE ALBERTINI",8.54400374531753,"HENRY JEAN BAPTISTE",1,"FRANCOIS LEOTARD",0.179605302026775
49,"ETIENNE PINTE",84,"LOUIS GUEDON",8.48528137423857,"HERVE GAYMARD",1,"CHARLES COURSON",0.176776695296637
50,"PIERRE MICAUX",84,"JEAN MARSAUDON",8.42614977317636,"HERVE MORIN",1,"EMILE BLESSIG",0.174077655955698
51,"LEONCE DEPREZ",83,"PIERRE ANDRE WILTZER",8.16389723823933,"JACQUES BLANC",1,"FRANCOIS LIBERTI",0.174077655955698
52,"PIERRE CARDO",83,"ANDRE BERTHOL",8.06225774829855,"JACQUES FLOCH",1,"ADRIEN ZELLER",0.169030850945703
53,"HERVE GAYMARD",82,"JEAN CLAUDE MIGNON",8.06225774829855,"JACQUES GODFRAIN",1,"ALAIN BOCQUET",0.169030850945703
54,"ANDRE ASCHIERI",80,"BERNARD PERRUT",8.05002170610607,"JACQUES KOSSOWSKI",1,"RENE ANDRE",0.169030850945703
55,"JACQUES GODFRAIN",80,"PIERRE HELLIER",8.01028545811867,"JACQUES PELISSARD",1,"GEORGES LEMOINE",0.162221421130763
56,"VALERY GISCARD ESTAING",80,"MARIE JO ZIMMERMANN",8,"JACQUES REBILLARD",1,"LEON VACHET",0.150755672288882
57,"YVES BUR",80,"THIERRY MARIANI",8,"JEAN BRIANE",1,"NICOLE CATALA",0.147441956154897
58,"MICHEL BOUVARD",78,"BERNARD SCHREINER",7.87400787401181,"JEAN CLAUDE BOULARD",1,"HENRY JEAN BAPTISTE",0.142857142857143
59,"ARTHUR PAECHT",77,"JEAN LUC PREEL",7.87400787401181,"JEAN CLAUDE GUIBAL",1,"JACQUES BLANC",0.14142135623731
60,"FRANCOIS GOULARD",77,"PATRICE MARTIN LALANDE",7.87400787401181,"JEAN CLAUDE LEMOINE",1,"HERVE MORIN",0.140028008402801
61,"HENRI SICRE",76,"CHRISTIAN KERT",7.7880298594002,"JEAN CLAUDE MIGNON",1,"PATRICK OLLIER",0.138675049056307
62,"PIERRE LASBORDES",75,"DIDIER JULIA",7.68114574786861,"JEAN CLAUDE PEREZ",1,"JEAN JACQUES GUILLET",0.137360563948689
63,"CLAUDE GATIGNOL",75,"MARC DUMOULIN",7.61577310586391,"JEAN CLAUDE THOMAS",1,"MICHEL INCHAUSPE",0.136082763487954
64,"JACQUES MASDEU ARUS",74,"GUY TEISSIER",7.54783521127535,"JEAN GARREC",1,"SERGE POIGNANT",0.136082763487954
65,"GILBERT GANTIER",73,"PIERRE CHRISTOPHE BAGUET",7.35790837757001,"JEAN JACQUES GUILLET",1,"MARC DUMOULIN",0.131306432859723
66,"GILLES ROBIEN",73,"MICHEL INCHAUSPE",7.34846922834953,"JEAN JACQUES WEBER",1,"DIDIER JULIA",0.130188910980824
