"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"GERARD CESAR",230,"GERARD CESAR",21.3764445348702,"JEAN PAUL DELEVOYE",1.9931630637513,"JACQUES DONNAY",1.29903810567666
2,"JEAN PIERRE RAFFARIN",169,"JEAN PAUL DELEVOYE",15.3360112650798,"GERARD CESAR",1.98674948240166,"ALAIN DUFAUT",1
3,"ALAIN VASSELLE",157,"JEAN PIERRE RAFFARIN",13.811238965072,"JEAN PHILIPPE LACHENAUD",1.9725302061123,"JACQUES BAUDOT",0.86534315599383
4,"JACQUES OUDIN",139,"ALAIN VASSELLE",12.5299640861417,"PIERRE BIARNES",1.96363636363636,"SERGE VINCON",0.848351415952103
5,"CLAUDE HURIET",121,"JEAN CLAUDE CARLE",11.9313115099581,"RENE GARREC",1.95605247465713,"AYMERI MONTESQUIOU",0.707106781186548
6,"DANIEL ECKENSPIELLER",121,"JACQUES OUDIN",11.8271504332076,"JEAN POURCHET",1.93333333333333,"BERTRAND DELANOE",0.707106781186548
7,"BERNARD MURAT",120,"JEAN PHILIPPE LACHENAUD",11.4960655795591,"PIERRE LEFEBVRE",1.88944133208839,"CHARLES REVET",0.707106781186548
8,"JEAN PAUL DELEVOYE",118,"CLAUDE HURIET",11,"JACQUES BAUDOT",1.88888888888889,"DANIEL MILLAUD",0.707106781186548
9,"BERNARD FOURNIER",112,"DANIEL ECKENSPIELLER",11,"ROLAND MUZEAU",1.87982456140351,"JEAN POURCHET",0.694087908475114
10,"JEAN PAUL AMOUDRY",107,"BERNARD MURAT",10.9544511501033,"SERGE VINCON",1.71428571428571,"ROLAND MUZEAU",0.665472862610247
11,"JEAN CLAUDE CARLE",106,"XAVIER DARCOS",10.7038043971024,"MARCEL HENRY",1.59259259259259,"PIERRE LEFEBVRE",0.580744518551283
12,"XAVIER DARCOS",102,"BERNARD FOURNIER",10.5830052442584,"JACQUES DONNAY",1.5,"ALAIN GOURNAC",0.5
13,"LOUIS SOUVET",101,"PIERRE BIARNES",10.3923048454133,"JEAN FRANCOIS GRAND",1.48333333333333,"ALFRED FOY",0.5
14,"GEORGES GRUILLOT",99,"JEAN PAUL AMOUDRY",10.3048886863367,"FRANCK SERUSCLAT",1.42307692307692,"FRANCK SERUSCLAT",0.470837329704996
15,"GEORGES MOULY",95,"GEORGES MOULY",10.2389383524787,"MARIE CLAUDE BEAUDEAU",1.39642857142857,"PAUL BLANC",0.41719619130217
16,"CLAUDE ESTIER",91,"LOUIS SOUVET",10.1833744957667,"JEAN CLAUDE CARLE",1.34298296554394,"RENE GARREC",0.417192530597073
