"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"PATRICE GELARD",57,"PIERRE BIARNES",10.5593560409714,"PIERRE BIARNES",3.37878787878788,"PIERRE BIARNES",1.08114618784969
2,"LOUIS SOUVET",50,"PATRICE GELARD",7.74009631135756,"JEAN MARC PASTOR",1.27155172413793,"ALAIN LAMBERT",0.707106781186548
3,"GEORGES GRUILLOT",46,"LOUIS SOUVET",7.00826175885209,"JACQUES OUDIN",1.08095238095238,"BERNARD BARBIER",0.707106781186548
4,"PIERRE BIARNES",33,"GEORGES GRUILLOT",6.78232998312527,"PATRICE GELARD",1.05103668261563,"CLAUDE ESTIER",0.707106781186548
5,"JEAN MARC PASTOR",29,"JEAN MARC PASTOR",6.07247890074556,"ALAIN LAMBERT",1,"GERARD BRAUN",0.577350269189626
6,"CHARLES PASQUA",25,"CHARLES PASQUA",5,"BERNARD BARBIER",1,"PIERRE LAFFITTE",0.353553390593274
7,"CLAUDE HURIET",24,"CLAUDE HURIET",4.89897948556636,"CHARLES DESCOURS",1,"CHARLES DESCOURS",0.288675134594813
8,"JACQUES OUDIN",21,"JACQUES OUDIN",4.76445169982864,"CHARLES PASQUA",1,"JEAN PIERRE CANTEGRIT",0.27184400061199
9,"CLAUDE BILLARD",14,"CLAUDE BILLARD",3.74165738677394,"CLAUDE BILLARD",1,"CLAUDE BILLARD",0.267261241912424
10,"FELIX LEYZOUR",14,"FELIX LEYZOUR",3.74165738677394,"CLAUDE ESTIER",1,"FELIX LEYZOUR",0.267261241912424
11,"JEAN LUC BECART",14,"JEAN LUC BECART",3.52821142536399,"CLAUDE HURIET",1,"JEAN MARC PASTOR",0.266257621242559
12,"LOUIS MINETTI",14,"CHARLES DESCOURS",3.46410161513775,"FELIX LEYZOUR",1,"JACQUES OUDIN",0.245245019469637
13,"IVAN RENAR",13,"LOUIS MINETTI",3.43802762581358,"GEORGES GRUILLOT",1,"JEAN LUC BECART",0.224082393482829
14,"CHARLES DESCOURS",12,"IVAN RENAR",3.20806275915336,"GERARD BRAUN",1,"LOUIS MINETTI",0.207334710603532
15,"JEAN PIERRE CANTEGRIT",8,"JEAN PIERRE CANTEGRIT",2.59119387817386,"LOUIS SOUVET",0.982314657611771,"CLAUDE HURIET",0.204124145231932
16,"GERARD BRAUN",3,"GERARD BRAUN",1.73205080756888,"JEAN LUC BECART",0.889162561576355,"CHARLES PASQUA",0.2
17,"ALAIN LAMBERT",2,"ALAIN LAMBERT",1.4142135623731,"LOUIS MINETTI",0.844288139704099,"IVAN RENAR",0.195362796230493
