"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"MARCEL LUCOTTE",201,"MARCEL LUCOTTE",16.3599991641067,"PIERRE BIARNES",3.83441558441558,"PAUL LORIDANT",1.53278536549524
2,"GEORGES GRUILLOT",123,"JEAN PAUL DELEVOYE",15.0263315606526,"PAUL LORIDANT",3.27857142857143,"PIERRE BIARNES",1.30704879705059
3,"JEAN PAUL DELEVOYE",108,"JEAN CHERIOUX",14.9060949502768,"JEAN PIERRE FOURCADE",2.89918300653595,"MICHEL CHARASSE",1.02975086475908
4,"CLAUDE HURIET",103,"JEAN PIERRE FOURCADE",12.8550935964134,"ROGER BESSE",2.70192307692308,"ERNEST CARTIGNY",1
5,"ALAIN VASSELLE",98,"PIERRE BIARNES",11.2488094608147,"JEAN ARTHUIS",2.69565217391304,"FRANCOISE SELIGMANN",1
6,"NICOLAS ABOUT",94,"GEORGES GRUILLOT",11.0905365064094,"JEAN CHERIOUX",2.44166666666667,"GEORGES BERCHET",1
7,"JEAN CHERIOUX",91,"MARC LAURIOL",10.5915015949944,"JEAN PAUL DELEVOYE",2.09065407565431,"JEAN BERNADAUX",1
8,"CLAUDE ESTIER",85,"YVON BOURGES",10.5440004564908,"MICHEL CHARASSE",2.03947368421053,"JEAN ARTHUIS",0.922851584477755
9,"LOUIS SOUVET",84,"CLAUDE HURIET",10.1488915650922,"JOSEPH OSTERMANN",2.02106227106227,"ROGER BESSE",0.906575232561189
10,"MICHEL MOREIGNE",76,"NICOLAS ABOUT",10.0060106981956,"MAURICE LOMBARD",1.90283400809717,"ALAIN LAMBERT",0.707106781186548
11,"PHILIPPE MARINI",73,"MICHEL MOREIGNE",9.9196774141098,"YVON BOURGES",1.88433806146572,"DANIELE POURTAUD",0.707106781186548
12,"PATRICE GELARD",72,"ALAIN VASSELLE",9.89949493661167,"MARC LAURIOL",1.86966510061283,"EDOUARD JEUNE",0.707106781186548
13,"HUBERT HAENEL",70,"PHILIPPE MARINI",9.77963196303427,"MARYSE BERGE LAVIGNE",1.78205128205128,"MARYSE BERGE LAVIGNE",0.686735776713113
14,"FRANCOIS GERBAUD",61,"PATRICE GELARD",9.6359985995414,"JEAN PIERRE CAMOIN",1.69956140350877,"JEAN PIERRE FOURCADE",0.653846822844751
15,"MARC LAURIOL",60,"LOUIS SOUVET",9.58124488389502,"LOUIS MINETTI",1.67709095106849,"BERTRAND DELANOE",0.577350269189626
16,"YVON BOURGES",59,"CLAUDE ESTIER",9.21380912581573,"MICHEL ALLONCLE",1.57894736842105,"MAURICE LOMBARD",0.51477172351459
17,"JEAN PIERRE FOURCADE",57,"JOSEPH OSTERMANN",9.10294200319617,"JACQUELINE FRAYSSE CAZALIS",1.5,"LOUIS MINETTI",0.498262408544361
18,"GEORGES MOULY",55,"HUBERT HAENEL",8.99175827185422,"MICHELLE DEMESSINE",1.47279585724353,"JACQUELINE FRAYSSE CAZALIS",0.490990253030983
19,"ALAIN DUFAUT",53,"ROGER BESSE",8.05271096253639,"XAVIER DUGOIN",1.45967741935484,"MICHELLE DEMESSINE",0.477694029222945
20,"CHARLES DESCOURS",51,"JEAN PIERRE CAMOIN",8.0363756341608,"GUY FISCHER",1.42857142857143,"GUY FISCHER",0.456340403571386
21,"RENE TREGOUET",50,"RENE TREGOUET",7.9108278063169,"MARCEL LUCOTTE",1.33158991367947,"MICHEL ALLONCLE",0.455171100419806
22,"JOSEPH OSTERMANN",41,"JEAN ARTHUIS",7.87400787401181,"PHILIPPE MARINI",1.31015344290961,"JOSEPH OSTERMANN",0.44872225947141
23,"LUCIEN NEUWIRTH",41,"FRANCOIS GERBAUD",7.81024967590665,"MICHEL MOREIGNE",1.29473684210526,"JACQUES GENTON",0.43948279399343
24,"SERGE VINCON",39,"GEORGES MOULY",7.41619848709566,"PATRICE GELARD",1.28961762514394,"JEAN CHERIOUX",0.399952913958891
25,"BERNARD PLASAIT",39,"ALAIN DUFAUT",7.28010988928052,"RENE TREGOUET",1.25162393162393,"JEAN PIERRE CAMOIN",0.359429311892579
26,"JEAN PIERRE CAMOIN",38,"CHARLES DESCOURS",7.14142842854285,"JEAN JACQUES HYEST",1.24776785714286,"CHARLES CUTTOLI",0.353553390593274
27,"JEAN JACQUES HYEST",34,"MAURICE LOMBARD",7.03375320938447,"MARIE CLAUDE BEAUDEAU",1.2312440645774,"YVON BOURGES",0.336753582716568
28,"PIERRE BIARNES",33,"PAUL LORIDANT",7.01274350226582,"ROBERT PAGES",1.21123321123321,"GERARD CESAR",0.331070245248089
29,"JEAN MARC PASTOR",32,"XAVIER DUGOIN",6.72681202353686,"JACQUES GENTON",1.20238095238095,"MARC LAURIOL",0.330042681587437
30,"XAVIER DUGOIN",31,"JEAN JACQUES HYEST",6.5133790879126,"JACQUES RICHARD DELONG",1.18768115942029,"XAVIER DUGOIN",0.316741148871012
31,"JACQUES RICHARD DELONG",31,"SERGE VINCON",6.42826420156805,"MICHEL PONIATOWSKI",1.17142857142857,"MARIE CLAUDE BEAUDEAU",0.313429178504625
32,"ALAIN JOYANDET",31,"LUCIEN NEUWIRTH",6.31297719967609,"HUBERT HAENEL",1.15502452599227,"ROBERT PAGES",0.305819275503069
33,"ANDRE DULAIT",27,"BERNARD PLASAIT",6.2449979983984,"LOUIS SOUVET",1.09286016101386,"ALFRED FOY",0.301511344577764
34,"MAURICE LOMBARD",26,"JACQUES RICHARD DELONG",6.06779333382647,"GERARD BRAUN",1.07857142857143,"BERNARD BARBIER",0.301511344577764
35,"CHARLES PASQUA",25,"LOUIS MINETTI",5.64488512463285,"NICOLAS ABOUT",1.06510904353622,"JEAN PAUL DELEVOYE",0.290878345550105
36,"ROGER BESSE",24,"ALAIN JOYANDET",5.56776436283002,"SERGE VINCON",1.05955334987593,"GUY POIRIEUX",0.283681302367362
37,"JEAN ARTHUIS",23,"MICHEL ALLONCLE",5.47722557505166,"IVAN RENAR",1.02083333333333,"MICHEL PONIATOWSKI",0.283503693138773
38,"JACQUES OUDIN",23,"ANDRE DULAIT",5.19615242270663,"ALAIN DUFAUT",1,"GERARD BRAUN",0.271674518949183
39,"MICHEL PONIATOWSKI",20,"CHARLES PASQUA",5,"ALAIN JOYANDET",1,"JEAN CLUZEL",0.267846051881268
40,"PAUL GIROD",20,"JEAN MARC PASTOR",4.9981703860129,"ALAIN LAMBERT",1,"CHARLES LEDERMAN",0.267261241912424
41,"RENE REGNAULT",20,"MICHEL PONIATOWSKI",4.84030695602783,"ALAIN VASSELLE",1,"CLAUDE BILLARD",0.267261241912424
42,"LOUIS MINETTI",19,"MARIE CLAUDE BEAUDEAU",4.83669693354572,"ALFRED FOY",1,"JEAN JACQUES HYEST",0.239034854920112
43,"MICHEL ALLONCLE",19,"ROBERT PAGES",4.79723159889441,"ANDRE DULAIT",1,"IVAN RENAR",0.236622186704849
44,"MARIE CLAUDE BEAUDEAU",19,"MARYSE BERGE LAVIGNE",4.62435026621204,"BERNARD BARBIER",1,"FRANCK SERUSCLAT",0.235702260395516
45,"ROBERT PAGES",19,"JACQUELINE FRAYSSE CAZALIS",4.58257569495584,"BERNARD PLASAIT",1,"JACQUES RICHARD DELONG",0.232471091027153
46,"IVAN RENAR",19,"MICHELLE DEMESSINE",4.54083054092635,"BERTRAND DELANOE",1,"FELIX LEYZOUR",0.229415733870562
47,"FELIX LEYZOUR",19,"GUY FISCHER",4.47213595499958,"CHARLES CUTTOLI",1,"FERNAND TARDY",0.229415733870562
48,"FERNAND TARDY",19,"IVAN RENAR",4.40407008724127,"CHARLES DESCOURS",1,"JACQUES BAUDOT",0.208499358275361
49,"JEAN LUC BECART",19,"FELIX LEYZOUR",4.35889894354067,"CHARLES LEDERMAN",1,"JEAN LUC BECART",0.207017845358197
50,"HELENE LUC",19,"FERNAND TARDY",4.35889894354067,"CHARLES PASQUA",1,"HELENE LUC",0.201997682646292
51,"JEAN FRANCOIS GRAND",19,"JACQUES OUDIN",4.34869073528012,"CLAUDE BILLARD",1,"CHARLES PASQUA",0.2
52,"FRANCK SERUSCLAT",18,"GERARD BRAUN",4.28202221919904,"CLAUDE HURIET",1,"RENE TREGOUET",0.198027628026846
53,"GERARD BRAUN",17,"FRANCK SERUSCLAT",4.24264068711928,"DANIELE POURTAUD",1,"ANDRE DULAIT",0.192450089729875
54,"PHILIPPE RICHERT",17,"PAUL GIROD",4.23983377931146,"EDOUARD JEUNE",1,"PAUL GIROD",0.190540149010723
