"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"JOSEPH OSTERMANN",54,"JOSEPH OSTERMANN",7.34846922834953,"ALAIN GERARD",1,"ANDRE FERRAND",1
2,"JACQUES OUDIN",51,"JACQUES OUDIN",7.14142842854285,"ALAIN GOURNAC",1,"CLAUDE DOMEIZEL",1
3,"LADISLAS PONIATOWSKI",49,"LADISLAS PONIATOWSKI",7,"ALAIN JOYANDET",1,"DOMINIQUE LECLERC",1
4,"BERNARD MURAT",45,"BERNARD MURAT",6.70820393249937,"ALAIN VASSELLE",1,"FRANCOIS GERBAUD",1
5,"ALAIN JOYANDET",39,"ALAIN JOYANDET",6.2449979983984,"ANDRE FERRAND",1,"HUBERT FALCO",1
6,"GERARD CESAR",39,"GERARD CESAR",6.2449979983984,"ANDRE TRILLARD",1,"JEAN CLAUDE CARLE",1
7,"DOMINIQUE BRAYE",38,"DOMINIQUE BRAYE",6.16441400296898,"ANNICK BOCANDE",1,"JEAN PAUL ALDUY",1
8,"JEAN PAUL AMOUDRY",32,"JEAN PAUL AMOUDRY",5.65685424949238,"ANNIE DAVID",1,"JEAN PEPIN",1
9,"DENIS BADRE",29,"DENIS BADRE",5.3851648071345,"AUGUSTE CAZALET",1,"JEAN YVES MANO",1
10,"JEAN PAUL DELEVOYE",28,"JEAN PAUL DELEVOYE",5.29150262212918,"BERNARD CAZEAU",1,"JOSE BALARELLO",1
11,"PATRICK LASSOURD",28,"PATRICK LASSOURD",5.29150262212918,"BERNARD FOURNIER",1,"LUCETTE MICHAUX CHEVRY",1
12,"ALAIN GERARD",27,"ALAIN GERARD",5.19615242270663,"BERNARD JOLY",1,"PAUL GIROD",1
13,"BRUNO SIDO",25,"BRUNO SIDO",5,"BERNARD MURAT",1,"PHILIPPE MARINI",1
14,"JACQUES BLANC",22,"JACQUES BLANC",4.69041575982343,"BRUNO SIDO",1,"YVON COLLIN",1
15,"BERNARD FOURNIER",21,"BERNARD FOURNIER",4.58257569495584,"CHRISTIAN GAUDIN",1,"CHRISTIAN GAUDIN",0.707106781186548
16,"GERARD MIQUEL",20,"GERARD MIQUEL",4.47213595499958,"CLAIRE LISE CAMPION",1,"CLAIRE LISE CAMPION",0.707106781186548
17,"YANN GAILLARD",20,"YANN GAILLARD",4.47213595499958,"CLAUDE DOMEIZEL",1,"DANIEL RAOUL",0.707106781186548
18,"JEAN CLAUDE PEYRONNET",17,"JEAN CLAUDE PEYRONNET",4.12310562561766,"CLAUDE LISE",1,"DANIELE POURTAUD",0.707106781186548
19,"JEAN PIERRE SUEUR",17,"JEAN PIERRE SUEUR",4.12310562561766,"DANIEL RAOUL",1,"FRANCOIS ZOCCHETTO",0.707106781186548
20,"MARIE CHRISTINE BLANDIN",17,"MARIE CHRISTINE BLANDIN",4.12310562561766,"DANIELE POURTAUD",1,"GILBERT CHABROUX",0.707106781186548
21,"ROBERT BRET",17,"ROBERT BRET",4.12310562561766,"DANIELLE BIDARD REYDET",1,"GISELE PRINTZ",0.707106781186548
22,"ALAIN GOURNAC",16,"ALAIN GOURNAC",4,"DENIS BADRE",1,"GUY FISCHER",0.707106781186548
23,"JANINE ROZIER",16,"JANINE ROZIER",4,"DOMINIQUE BRAYE",1,"JEAN PIERRE MASSERET",0.707106781186548
24,"PHILIPPE LEROY",16,"PHILIPPE LEROY",4,"DOMINIQUE LECLERC",1,"JOSIANE MATHON POINAT",0.707106781186548
25,"JEAN LOUIS MASSON",15,"JEAN LOUIS MASSON",3.87298334620742,"FRANCIS GRIGNON",1,"JOSSELIN ROHAN",0.707106781186548
26,"ANDRE LARDEUX",14,"ANDRE LARDEUX",3.74165738677394,"FRANCOIS AUTAIN",1,"MICHEL DOUBLET",0.707106781186548
27,"GEORGES MOULY",12,"GEORGES MOULY",3.46410161513775,"FRANCOIS GERBAUD",1,"NELLY OLIN",0.707106781186548
28,"FRANCIS GRIGNON",11,"FRANCIS GRIGNON",3.3166247903554,"FRANCOIS ZOCCHETTO",1,"NICOLE BORVO COHEN SEAT",0.707106781186548
29,"JACQUES VALADE",11,"JACQUES VALADE",3.3166247903554,"GASTON FLOSSE",1,"PAUL LORIDANT",0.707106781186548
30,"PHILIPPE ADNOT",11,"PHILIPPE ADNOT",3.3166247903554,"GEORGES MOULY",1,"ROLAND MUZEAU",0.707106781186548
31,"AUGUSTE CAZALET",10,"AUGUSTE CAZALET",3.16227766016838,"GEORGES OTHILY",1,"SERGE LEPELTIER",0.707106781186548
32,"CLAUDE LISE",10,"CLAUDE LISE",3.16227766016838,"GERARD CAM",1,"THIERRY FOUCAUD",0.707106781186548
33,"JEAN PIERRE DEMERLIAT",10,"JEAN PIERRE DEMERLIAT",3.16227766016838,"GERARD CESAR",1,"FRANCOIS AUTAIN",0.577350269189626
