"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"JEAN MARC AYRAULT",249,"JEAN MARC AYRAULT",15.7797338380595,"ADRIEN ZELLER",1,"ANDRE SANTINI",1
2,"LAURENT DOMINATI",119,"LAURENT DOMINATI",10.9087121146357,"ALAIN BOCQUET",1,"CLAUDE EVIN",1
3,"GUY DRUT",112,"GUY DRUT",10.5830052442584,"ANDRE ANGOT",1,"GERARD FUCHS",1
4,"FRANCOIS ROCHEBLOINE",104,"FRANCOIS ROCHEBLOINE",10.1980390271856,"ANDRE ASCHIERI",1,"JACQUES GODFRAIN",1
5,"JEAN MICHEL DUBERNARD",102,"JEAN MICHEL DUBERNARD",10.0995049383621,"ANDRE BERTHOL",1,"LAURENT FABIUS",1
6,"PHILIPPE VASSEUR",102,"PHILIPPE VASSEUR",10.0995049383621,"ANDRE SANTINI",1,"PATRICK DELNATTE",1
7,"BERNARD PERRUT",95,"BERNARD PERRUT",9.74679434480896,"ANTOINE CARRE",1,"CHRISTINE BOUTIN",0.707106781186548
8,"JEAN LUC REITZER",91,"JEAN LUC REITZER",9.53939201416946,"BERNARD PERRUT",1,"ELIE HOARAU",0.707106781186548
9,"HENRI CUQ",81,"HENRI CUQ",9,"CATHERINE PICARD",1,"HUGUETTE BELLO",0.707106781186548
10,"DOMINIQUE BUSSEREAU",77,"DOMINIQUE BUSSEREAU",8.77496438739212,"CHARLES COVA",1,"JEAN PIERRE BRARD",0.707106781186548
11,"HENRI SICRE",76,"HENRI SICRE",8.71779788708135,"CHRISTINE BOUTIN",1,"CATHERINE PICARD",0.577350269189626
12,"GUY TEISSIER",75,"GUY TEISSIER",8.66025403784439,"CLAUDE BIRRAUX",1,"MICHEL BOUVARD",0.577350269189626
13,"JEAN JACQUES WEBER",73,"JEAN JACQUES WEBER",8.54400374531753,"CLAUDE EVIN",1,"NICOLAS SARKOZY",0.577350269189626
14,"MICHEL HUNAULT",69,"MICHEL HUNAULT",8.30662386291807,"CLAUDE GAILLARD",1,"PIERRE MICAUX",0.577350269189626
15,"ANDRE ANGOT",65,"ANDRE ANGOT",8.06225774829855,"CLAUDE GOASGUEN",1,"GUY HASCOET",0.447213595499958
16,"JEAN CLAUDE MIGNON",65,"JEAN CLAUDE MIGNON",8.06225774829855,"DOMINIQUE BUSSEREAU",1,"MARIE HELENE AUBERT",0.447213595499958
17,"FRANCOIS SAUVADET",64,"FRANCOIS SAUVADET",8,"EDOUARD LANDRAIN",1,"JEAN CLAUDE BOULARD",0.408248290463863
18,"GILBERT MEYER",63,"GILBERT MEYER",7.93725393319377,"ELIE HOARAU",1,"MAXIME GREMETZ",0.408248290463863
19,"MARIE JO ZIMMERMANN",63,"MARIE JO ZIMMERMANN",7.93725393319377,"FRANCOIS CORNUT GENTILLE",1,"FRANCOIS CORNUT GENTILLE",0.377964473009227
20,"PIERRE HELLIER",58,"PIERRE HELLIER",7.61577310586391,"FRANCOIS ROCHEBLOINE",1,"GEORGES SARRE",0.377964473009227
21,"MICHEL TERROT",56,"MICHEL TERROT",7.48331477354788,"FRANCOIS SAUVADET",1,"JEAN PIERRE MICHEL",0.377964473009227
22,"RENAUD MUSELIER",56,"RENAUD MUSELIER",7.48331477354788,"GEORGES SARRE",1,"ROLAND CARRAZ",0.377964473009227
23,"JEAN UEBERSCHLAG",55,"JEAN UEBERSCHLAG",7.41619848709566,"GERARD FUCHS",1,"GILBERT GANTIER",0.353553390593274
24,"EDOUARD LANDRAIN",52,"EDOUARD LANDRAIN",7.21110255092798,"GILBERT GANTIER",1,"MICHEL CREPEAU",0.288675134594813
25,"CLAUDE GAILLARD",51,"CLAUDE GAILLARD",7.14142842854285,"GILBERT MEYER",1,"ADRIEN ZELLER",0.277350098112615
26,"YVES NICOLIN",50,"YVES NICOLIN",7.07106781186548,"GILBERTE MARIN MOSKOVITZ",1,"CHARLES COVA",0.267261241912424
27,"NICOLE CATALA",46,"NICOLE CATALA",6.78232998312527,"GUY DRUT",1,"CLAUDE GOASGUEN",0.258198889747161
28,"JEAN GAULLE",45,"JEAN GAULLE",6.70820393249937,"GUY HASCOET",1,"ANTOINE CARRE",0.242535625036333
29,"PIERRE LEQUILLER",43,"PIERRE LEQUILLER",6.557438524302,"GUY TEISSIER",1,"JEAN CLAUDE DECAGNY",0.242535625036333
30,"ALAIN MOYNE BRESSAND",42,"JEAN CLAUDE GUIBAL",6.40312423743285,"HENRI CUQ",1,"GILBERTE MARIN MOSKOVITZ",0.223606797749979
31,"JEAN CLAUDE GUIBAL",41,"ALAIN BOCQUET",5.91607978309962,"HENRI SICRE",1,"JEAN LOUIS BERNARD",0.223606797749979
32,"ALAIN BOCQUET",35,"PIERRE ANDRE WILTZER",5.91607978309962,"HUGUETTE BELLO",1,"PASCAL CLEMENT",0.223606797749979
33,"PIERRE ANDRE WILTZER",35,"ANDRE ASCHIERI",5.65685424949238,"JACQUES GODFRAIN",1,"ANDRE BERTHOL",0.218217890235992
34,"ANDRE ASCHIERI",32,"JEAN LUC PREEL",5.56776436283002,"JACQUES REBILLARD",1,"CLAUDE BIRRAUX",0.204124145231932
35,"JEAN LUC PREEL",31,"MARC DUMOULIN",5.47722557505166,"JEAN CLAUDE BOULARD",1,"JACQUES REBILLARD",0.196116135138184
36,"MARC DUMOULIN",30,"PIERRE ALBERTINI",5.47722557505166,"JEAN CLAUDE DECAGNY",1,"JEAN JACQUES GUILLET",0.188982236504614
37,"PIERRE ALBERTINI",30,"ALAIN MOYNE BRESSAND",5.29150262212918,"JEAN CLAUDE GUIBAL",1,"LEONCE DEPREZ",0.188982236504614
38,"JEAN JACQUES GUILLET",28,"JEAN JACQUES GUILLET",5.29150262212918,"JEAN CLAUDE MIGNON",1,"MARC DUMOULIN",0.182574185835055
39,"LEONCE DEPREZ",28,"LEONCE DEPREZ",5.29150262212918,"JEAN GAULLE",1,"PIERRE ALBERTINI",0.182574185835055
40,"JACQUES REBILLARD",26,"JACQUES REBILLARD",5.09901951359279,"JEAN JACQUES GUILLET",1,"JEAN LUC PREEL",0.179605302026775
41,"CLAUDE BIRRAUX",24,"CLAUDE BIRRAUX",4.89897948556636,"JEAN JACQUES WEBER",1,"ANDRE ASCHIERI",0.176776695296637
42,"ANDRE BERTHOL",21,"ANDRE BERTHOL",4.58257569495584,"JEAN LOUIS BERNARD",1,"ALAIN BOCQUET",0.169030850945703
43,"GILBERTE MARIN MOSKOVITZ",20,"GILBERTE MARIN MOSKOVITZ",4.47213595499958,"JEAN LUC REITZER",1,"PIERRE ANDRE WILTZER",0.169030850945703
