"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"THIERRY MARIANI",370,"THIERRY MARIANI",19.222672541776,"FRANCOIS HOLLANDE",1,"ALAIN CORTADE",1
2,"BERNARD CARAYON",349,"BERNARD CARAYON",18.6679661393399,"GENEVIEVE GAILLARD",1,"ALAIN VENOT",1
3,"JACQUES KOSSOWSKI",328,"JACQUES KOSSOWSKI",18.1008384026043,"PASCALE GRUNY",1,"ANDRE VALLINI",1
4,"BERNARD PERRUT",319,"BERNARD PERRUT",17.8531830656288,"AIME KERGUERIS",1,"BEATRICE PAVY",1
5,"CHRISTIAN ESTROSI",317,"CHRISTIAN ESTROSI",17.7792957910062,"ALAIN BOCQUET",1,"CHRISTIAN KERT",1
6,"YANNICK FAVENNEC",310,"YANNICK FAVENNEC",17.5907231913313,"ALAIN CLAEYS",1,"CHRISTIANE TAUBIRA",1
7,"PATRICK BEAUDOUIN",303,"GEORGES TRON",17.1103000618815,"ALAIN CORTADE",1,"CLAUDE BIRRAUX",1
8,"GEORGES TRON",293,"GEORGES COLOMBIER",17.0519728618425,"ALAIN GEST",1,"DIDIER JULIA",1
9,"GEORGES COLOMBIER",291,"PATRICK BEAUDOUIN",17.0169079235772,"ALAIN GOURIOU",1,"DIDIER QUENTIN",1
10,"PIERRE MOREL HUISSIER",281,"PIERRE MOREL HUISSIER",16.7586193569555,"ALAIN JOYANDET",1,"DINO CINIERI",1
11,"JEAN PIERRE ABELIN",274,"MARYSE JOISSAINS MASINI",16.4852875583762,"ALAIN MARLEIX",1,"FRANCOIS ASENSI",1
12,"MARYSE JOISSAINS MASINI",272,"NATHALIE KOSCIUSKO MORIZET",16.431676725155,"ALAIN MARSAUD",1,"GILBERT GANTIER",1
13,"NATHALIE KOSCIUSKO MORIZET",270,"CHRISTIAN MENARD",16.2788205960997,"ALAIN MERLY",1,"JEAN CLAUDE LEFORT",1
14,"CHRISTIAN MENARD",265,"JEAN PIERRE ABELIN",16.2723056459275,"ALAIN MOYNE BRESSAND",1,"JEAN DIEBOLD",1
15,"PHILIPPE ARMAND MARTIN",262,"PHILIPPE ARMAND MARTIN",16.1846667237937,"ALAIN NERI",1,"JEAN JACQUES DESCAMPS",1
16,"JEAN CLAUDE DECAGNY",262,"VALERIE PECRESSE",16.1522987939523,"ALAIN VENOT",1,"JEAN LUC WARSMANN",1
17,"VALERIE PECRESSE",261,"FRANCOIS SCELLIER",16.1245154965971,"ALAIN VIDALIES",1,"JEAN PRORIOL",1
