"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"BRUNO ROUX",302,"BRUNO ROUX",15.4920593942743,"ALAIN BOCQUET",1,"ALAIN LEBOEUF",1
2,"BERNARD ACCOYER",188,"BERNARD ACCOYER",12.8840367046377,"ALAIN CALMETTE",1,"AXELLE LEMAIRE",1
3,"CHRISTIAN JACOB",182,"BEATRICE SANTAIS",12.5046502977799,"ALAIN LEBOEUF",1,"JOAQUIM PUEYO",1
4,"MARC FUR",166,"BRUNO MAIRE",12.3341267148583,"ALAIN MARC",1,"MARIE LOUISE FORT",1
5,"BEATRICE SANTAIS",163,"CHRISTIAN JACOB",12.043599893712,"ANNE GROMMERCH",1,"AXEL PONIATOWSKI",0.707106781186548
6,"DAMIEN ABAD",154,"ALAIN SUGUENOT",11.5175755024461,"ANNIE GENEVARD",1,"CHRISTOPHE CARESCHE",0.707106781186548
7,"BRUNO MAIRE",153,"BOINALI SAID",11.4937871416319,"ANTOINE HERTH",1,"GILBERT COLLARD",0.707106781186548
8,"ERIC WOERTH",145,"DAVID DOUILLET",11.4485991516522,"ARLETTE GROSSKOST",1,"JEAN MARIE GUEN",0.577350269189626
9,"PHILIPPE GOSSELIN",137,"MARC FUR",11.4318941338944,"ARNAUD ROBINET",1,"JEAN GLAVANY",0.447213595499958
10,"BOINALI SAID",135,"BRIGITTE BOURGUIGNON",11.2845215021247,"ARY CHALUS",1,"BERNARD DEBRE",0.408248290463863
11,"VERONIQUE BESSE",134,"JEAN PIERRE GORGES",10.8921712224604,"AXEL PONIATOWSKI",1,"ERWANN BINET",0.377964473009227
12,"ALAIN SUGUENOT",133,"ALAIN MARC",10.8627804912002,"AXELLE LEMAIRE",1,"MARIE JO ZIMMERMANN",0.353553390593274
13,"BRIGITTE BOURGUIGNON",133,"PHILIPPE GOSSELIN",10.7823918715741,"BERNARD DEBRE",1,"ARLETTE GROSSKOST",0.333333333333333
