"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"CHARLES PASQUA",113,"CHARLES PASQUA",10.8472478776433,"MARIE CLAUDE BEAUDEAU",2.85185185185185,"MARIE CLAUDE BEAUDEAU",1.24349720083691
2,"GEORGES GRUILLOT",91,"GEORGES GRUILLOT",10.0701904926938,"LUCIEN NEUWIRTH",1.98809523809524,"GERARD LARCHER",1.24225998749988
3,"JEAN CHERIOUX",78,"LUCIEN NEUWIRTH",9.66646140997191,"JEAN ARTHUIS",1.98717948717949,"JEAN PIERRE FOURCADE",1.01341313038637
4,"FRANCK SERUSCLAT",76,"JACQUES MENOU",9.21954445729289,"JACQUES MENOU",1.97674418604651,"ALBERT PEN",1
5,"LOUIS SOUVET",73,"JEAN CHERIOUX",8.94537242797359,"FRANCOIS GERBAUD",1.97435897435897,"ANDRE DILIGENT",1
6,"MARC LAURIOL",69,"JEAN ARTHUIS",8.91555828241729,"HELENE LUC",1.92937062937063,"BERNARD LAURENT",1
7,"JACQUES SOURDILLE",61,"ROGER HUSSON",8.78635305459552,"JEAN PIERRE FOURCADE",1.83333333333333,"JACQUES OUDIN",1
8,"RENE REGNAULT",60,"CLAUDE PROUVOYEUR",8.78484054627194,"ROBERT VIZET",1.71428571428571,"GUY PENNE",0.891056385130302
9,"CHARLES CUTTOLI",59,"FRANCOIS GERBAUD",8.77496438739212,"ROGER ROMANI",1.67692307692308,"ANDRE BOHL",0.707106781186548
10,"ROGER HUSSON",58,"FRANCK SERUSCLAT",8.75461573030625,"GERARD LARCHER",1.66666666666667,"ROGER ROMANI",0.686704213163774
11,"CLAUDE PROUVOYEUR",55,"LOUIS SOUVET",8.52074031493193,"GUY ALLOUCHE",1.485346215781,"HELENE LUC",0.66998256811467
12,"CLAUDE HURIET",55,"MARC LAURIOL",8.3511430593422,"HENRI GOETSCHY",1.4593984962406,"ROBERT VIZET",0.599875039048942
13,"JEAN CLUZEL",54,"HENRI GOETSCHY",8.28201239574708,"CLAUDE PROUVOYEUR",1.40315315315315,"GEORGES MOULY",0.594011881817814
14,"ALAIN PLUCHET",54,"GUY ALLOUCHE",8.26594978970511,"ROGER HUSSON",1.33103448275862,"MAURICE SCHUMANN",0.544331053951817
15,"SERGE VINCON",50,"RENE REGNAULT",8.12837362424832,"SERGE VINCON",1.28363636363636,"FRANCOIS GERBAUD",0.444228966357129
16,"MARCEL DAUNAY",50,"SERGE VINCON",8.01135557704301,"PAULETTE FOST",1.25714285714286,"JEAN ARTHUIS",0.44292036338932
17,"PAUL MASSON",49,"JACQUES SOURDILLE",7.79628445363888,"PHILIPPE FRANCOIS",1.23333333333333,"PHILIPPE FRANCOIS",0.433132432061724
18,"LUCIEN NEUWIRTH",47,"CHARLES CUTTOLI",7.68114574786861,"GEORGES MOULY",1.20833333333333,"JEAN PIERRE CANTEGRIT",0.425040303099905
19,"HENRI GOETSCHY",47,"JEAN CLUZEL",7.47787946671256,"EDOUARD JEUNE",1.19876543209877,"JACQUES MENOU",0.423829788463978
20,"BERNARD HUGO",47,"CLAUDE HURIET",7.44336866414688,"GUY PENNE",1.16666666666667,"LUCIEN NEUWIRTH",0.408890338263756
21,"GUY ALLOUCHE",46,"ALAIN PLUCHET",7.34846922834953,"JEAN PIERRE BAYLE",1.15454545454545,"PIERRE VALLON",0.397019317696682
22,"EDOUARD JEUNE",45,"EDOUARD JEUNE",7.34468817884357,"GEORGES GRUILLOT",1.11438172043011,"PIERRE LAFFITTE",0.378600966726635
23,"PAUL LORIDANT",45,"PAUL MASSON",7.34393173533996,"RENE REGNAULT",1.10117429625626,"PAULETTE FOST",0.376715014852952
24,"JACQUES MENOU",43,"MARCEL DAUNAY",7.08657266914846,"PAUL MASSON",1.10068027210884,"JEAN PIERRE BAYLE",0.374041862729437
25,"CLAUDE ESTIER",43,"BERNARD HUGO",6.85565460040104,"JACQUES HABERT",1.09204545454545,"JEAN PIERRE MASSERET",0.353553390593274
26,"JACQUES MACHET",42,"PAUL LORIDANT",6.81557916168994,"MARCEL LUCOTTE",1.09047619047619,"JACQUES HABERT",0.3440841999881
27,"MARCEL DEBARGE",41,"MARIE CLAUDE BEAUDEAU",6.54047229011619,"JACQUES GENTON",1.07670454545455,"RAYMOND BOURGINE",0.340238886666413
28,"JEAN ARTHUIS",40,"JACQUES MACHET",6.51741852162699,"HUBERT HAENEL",1.06216931216931,"ERNEST CARTIGNY",0.337209539594544
29,"HENRI COLLETTE",40,"CLAUDE ESTIER",6.43904001343132,"RAYMOND BOURGINE",1.05,"JACQUES LARCHE",0.327169364731594
30,"FRANCOIS GERBAUD",39,"MARCEL LUCOTTE",6.43724282888996,"PIERRE SCHIELE",1.04901960784314,"JEAN CAUCHON",0.321370049628235
31,"MARCEL LUCOTTE",38,"HENRI COLLETTE",6.3737006636942,"ETIENNE DAILLY",1.04761904761905,"PHILIPPE MARINI",0.310564996874971
32,"JACQUES CHAUMONT",38,"MARCEL DEBARGE",6.35535020203263,"ROBERT PAGES",1.04489214489214,"DANIEL HOEFFEL",0.303420933580398
33,"LOUIS CATUELAN",37,"LOUIS CATUELAN",6.2068830201154,"CHARLES PASQUA",1.0412635975136,"MARCEL RUDLOFF",0.302277826456425
34,"ALAIN GERARD",36,"JACQUES CHAUMONT",6.17960354715414,"LOUIS CATUELAN",1.04122694122694,"JEAN PUECH",0.278286000555119
35,"MICHEL PONIATOWSKI",28,"ALAIN GERARD",6,"JEAN CLUZEL",1.03553113553114,"ETIENNE DAILLY",0.27685951234581
36,"CHARLES HENRI COSSE BRISSAC",27,"HELENE LUC",5.55607146011731,"PIERRE VALLON",1.03333333333333,"FRANCOISE SELIGMANN",0.274792291698278
37,"JEAN SIMONIN",27,"CHARLES HENRI COSSE BRISSAC",5.19452072148169,"PAUL LORIDANT",1.0322693179836,"ROBERT PAGES",0.267022098809826
38,"ANDRE ROUVIERE",24,"JEAN SIMONIN",5.17008024403197,"JEAN LUC MELENCHON",1.02693602693603,"GUY ALLOUCHE",0.266908635651614
39,"HUBERT HAENEL",23,"MICHEL PONIATOWSKI",5.15432428389303,"JEAN CHERIOUX",1.0258934342968,"JEAN FRANCOU",0.264212653059975
40,"JEAN LUC MELENCHON",22,"HUBERT HAENEL",4.94266063774301,"HENRI COLLETTE",1.0156015037594,"JACQUES GENTON",0.263334989038337
41,"MICHEL MAURICE BOKANOWSKI",20,"ROBERT VIZET",4.89897948556636,"JACQUES MACHET",1.01135105204873,"PHILIPPE ADNOT",0.261916017074176
42,"MICHEL SOUPLET",19,"ANDRE ROUVIERE",4.89897948556636,"MARC LAURIOL",1.01074768692173,"PIERRE SCHIELE",0.260585921212463
43,"JACQUES GENTON",18,"JEAN LUC MELENCHON",4.75316658582387,"MICHEL MAURICE BOKANOWSKI",1.01,"PAUL SOUFFRIN",0.258726005446334
44,"ANDRE RABINEAU",18,"MICHEL MAURICE BOKANOWSKI",4.49444101084885,"FRANCK SERUSCLAT",1.00846442875428,"FRANCISQUE COLLOMB",0.258488725399882
45,"PIERRE SCHIELE",17,"JACQUES GENTON",4.40234957927944,"CLAUDE HURIET",1.00734067400734,"HENRI GOETSCHY",0.257165030557432
46,"HELENE LUC",16,"MICHEL SOUPLET",4.24791079279799,"JACQUES CHAUMONT",1.00493421052632,"HENRI RAINCOURT",0.256976496103954
47,"ROBERT PAGES",16,"ANDRE RABINEAU",4.24264068711928,"MARCEL DAUNAY",1.00439024390244,"HECTOR VIRON",0.254440517140319
48,"IVAN RENAR",16,"PIERRE SCHIELE",4.22295315310664,"PAUL SOUFFRIN",1.00136054421769,"IVAN RENAR",0.25
