"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"CLAUDE ESTIER",84,"CLAUDE ESTIER",9.13088902179619,"ROGER BESSE",1.95833333333333,"GEORGES BERCHET",1
2,"GEORGES GRUILLOT",74,"GEORGES GRUILLOT",8.60232526704263,"PHILIPPE RICHERT",1.9,"HENRI REVOL",1
3,"PHILIPPE MARINI",63,"PHILIPPE MARINI",8.24486372099489,"MARTIAL TAUGOURDEAU",1.41666666666667,"JEAN BERNADAUX",1
4,"LOUIS SOUVET",59,"LOUIS SOUVET",7.68114574786861,"PHILIPPE MARINI",1.07901234567901,"PHILIPPE RICHERT",0.828190799272728
5,"JEAN PAUL DELEVOYE",58,"JEAN PAUL DELEVOYE",7.61577310586391,"RENE TREGOUET",1.0528021978022,"EDOUARD JEUNE",0.707106781186548
6,"RENE TREGOUET",50,"RENE TREGOUET",7.25535043193021,"NICOLAS ABOUT",1.04112554112554,"GUY POIRIEUX",0.707106781186548
7,"HUBERT HAENEL",41,"ROGER BESSE",6.85565460040104,"MARIE CLAUDE BEAUDEAU",1.00688509021842,"JACQUES GENTON",0.707106781186548
8,"JEAN CHERIOUX",35,"HUBERT HAENEL",6.40312423743285,"ALAIN VASSELLE",1,"ROGER BESSE",0.559402371907724
9,"ALAIN VASSELLE",34,"JEAN CHERIOUX",5.91607978309962,"BERNARD BARBIER",1,"MARTIAL TAUGOURDEAU",0.486755525246529
10,"JEAN PIERRE FOURCADE",34,"NICOLAS ABOUT",5.8614966396939,"CHARLES CUTTOLI",1,"JEAN CLUZEL",0.447213595499958
11,"NICOLAS ABOUT",33,"ALAIN VASSELLE",5.8309518948453,"CLAUDE HURIET",1,"GERARD CESAR",0.377964473009227
12,"MARC LAURIOL",31,"JEAN PIERRE FOURCADE",5.8309518948453,"EDOUARD JEUNE",1,"BERNARD BARBIER",0.353553390593274
13,"FRANCOIS GERBAUD",29,"MARC LAURIOL",5.56776436283002,"FRANCOIS GERBAUD",1,"CHARLES CUTTOLI",0.353553390593274
14,"ROGER BESSE",24,"FRANCOIS GERBAUD",5.3851648071345,"GEORGES BERCHET",1,"JACQUES LARCHE",0.353553390593274
15,"JEAN FRANCOIS GRAND",19,"JEAN FRANCOIS GRAND",4.35889894354067,"GEORGES GRUILLOT",1,"RENE REGNAULT",0.310496333866343
16,"MARIE CLAUDE BEAUDEAU",17,"PHILIPPE RICHERT",4.35889894354067,"GERARD CESAR",1,"MICHEL DREYFUS SCHMIDT",0.305441419328485
17,"HELENE LUC",14,"MARIE CLAUDE BEAUDEAU",4.13727525476771,"GUY POIRIEUX",1,"CLAUDE HURIET",0.288675134594813
18,"LOUIS MINETTI",14,"MARTIAL TAUGOURDEAU",4.12310562561766,"HELENE LUC",1,"YVES GUENA",0.268138910810718
19,"ROBERT PAGES",14,"HELENE LUC",3.74165738677394,"HENRI REVOL",1,"HELENE LUC",0.267261241912424
20,"ROBERT VIZET",14,"LOUIS MINETTI",3.74165738677394,"JACQUES GENTON",1,"LOUIS MINETTI",0.267261241912424
21,"MICHELLE DEMESSINE",14,"ROBERT PAGES",3.73908668404053,"JACQUES LARCHE",1,"ROBERT PAGES",0.266710755425576
22,"PAUL LORIDANT",14,"ROBERT VIZET",3.685557397916,"JEAN BERNADAUX",1,"ROBERT VIZET",0.255419156403192
23,"MARTIAL TAUGOURDEAU",12,"MICHELLE DEMESSINE",3.66391081008291,"JEAN CHERIOUX",1,"MICHELLE DEMESSINE",0.250945035384467
24,"CLAUDE HURIET",12,"PAUL LORIDANT",3.64607009813221,"JEAN CLUZEL",1,"PAUL LORIDANT",0.247297069895992
25,"YVES GUENA",12,"CLAUDE HURIET",3.46410161513775,"JEAN FRANCOIS GRAND",1,"MARIE CLAUDE BEAUDEAU",0.245044751067955
26,"PHILIPPE RICHERT",10,"YVES GUENA",3.37992796424395,"JEAN PAUL DELEVOYE",1,"JEAN FRANCOIS GRAND",0.229415733870562
27,"BERNARD BARBIER",8,"BERNARD BARBIER",2.82842712474619,"JEAN PIERRE FOURCADE",1,"FRANCOIS GERBAUD",0.185695338177052
28,"CHARLES CUTTOLI",8,"CHARLES CUTTOLI",2.82842712474619,"LOUIS MINETTI",1,"NICOLAS ABOUT",0.184925874569905
29,"JACQUES LARCHE",8,"JACQUES LARCHE",2.82842712474619,"LOUIS SOUVET",1,"MARC LAURIOL",0.179605302026775
30,"GERARD CESAR",7,"GERARD CESAR",2.64575131106459,"MARC LAURIOL",1,"ALAIN VASSELLE",0.171498585142509
31,"RENE REGNAULT",7,"RENE REGNAULT",2.47790233867277,"HUBERT HAENEL",1,"JEAN PIERRE FOURCADE",0.171498585142509
32,"JEAN CLUZEL",5,"JEAN CLUZEL",2.23606797749979,"ROBERT PAGES",0.998626373626374,"JEAN CHERIOUX",0.169030850945703
33,"EDOUARD JEUNE",2,"EDOUARD JEUNE",1.4142135623731,"CLAUDE ESTIER",0.992537313432836,"HUBERT HAENEL",0.156173761888606
34,"GUY POIRIEUX",2,"GUY POIRIEUX",1.4142135623731,"ROBERT VIZET",0.970238095238095,"RENE TREGOUET",0.152768977611225
35,"JACQUES GENTON",2,"JACQUES GENTON",1.4142135623731,"MICHELLE DEMESSINE",0.958874458874459,"PHILIPPE MARINI",0.141211265768167
36,"MICHEL DREYFUS SCHMIDT",2,"MICHEL DREYFUS SCHMIDT",1.0690449676497,"YVES GUENA",0.951992753623188,"JEAN PAUL DELEVOYE",0.131306432859723
37,"GEORGES BERCHET",1,"GEORGES BERCHET",1,"PAUL LORIDANT",0.949559082892416,"LOUIS SOUVET",0.130188910980824
38,"HENRI REVOL",1,"HENRI REVOL",1,"RENE REGNAULT",0.877142857142857,"GEORGES GRUILLOT",0.116247638743819
39,"JEAN BERNADAUX",1,"JEAN BERNADAUX",1,"MICHEL DREYFUS SCHMIDT",0.571428571428571,"CLAUDE ESTIER",0.107889857844607
40,"PIERRE LAGOURGUE",1,"PIERRE LAGOURGUE",0.377964473009227,"PIERRE LAGOURGUE",0.142857142857143,"PIERRE LAGOURGUE",0.0539949247156039
41,"ROLAND COURTEAU",1,"ROLAND COURTEAU",0.288675134594813,"ROLAND COURTEAU",0.0833333333333333,"ROLAND COURTEAU",0.0240562612162344
42,"ADRIEN GOUTEYRON",0,"ADRIEN GOUTEYRON",0,"ADRIEN GOUTEYRON",0,"ADRIEN GOUTEYRON",0
43,"ALAIN DUFAUT",0,"ALAIN DUFAUT",0,"ALAIN DUFAUT",0,"ALAIN DUFAUT",0
44,"ALAIN GERARD",0,"ALAIN GERARD",0,"ALAIN GERARD",0,"ALAIN GERARD",0
45,"ALAIN GOURNAC",0,"ALAIN GOURNAC",0,"ALAIN GOURNAC",0,"ALAIN GOURNAC",0
46,"ALAIN JOYANDET",0,"ALAIN JOYANDET",0,"ALAIN JOYANDET",0,"ALAIN JOYANDET",0
47,"ALAIN PEYREFITTE",0,"ALAIN PEYREFITTE",0,"ALAIN PEYREFITTE",0,"ALAIN PEYREFITTE",0
48,"ALAIN PLUCHET",0,"ALAIN PLUCHET",0,"ALAIN PLUCHET",0,"ALAIN PLUCHET",0
49,"ALAIN RICHARD",0,"ALAIN RICHARD",0,"ALAIN RICHARD",0,"ALAIN RICHARD",0
50,"ALBERT PEN",0,"ALBERT PEN",0,"ALBERT PEN",0,"ALBERT PEN",0
51,"ALBERT VECTEN",0,"ALBERT VECTEN",0,"ALBERT VECTEN",0,"ALBERT VECTEN",0
52,"ALFRED FOY",0,"ALFRED FOY",0,"ALFRED FOY",0,"ALFRED FOY",0
53,"ANDRE BOHL",0,"ANDRE BOHL",0,"ANDRE BOHL",0,"ANDRE BOHL",0
54,"ANDRE DILIGENT",0,"ANDRE DILIGENT",0,"ANDRE DILIGENT",0,"ANDRE DILIGENT",0
55,"ANDRE FOSSET",0,"ANDRE FOSSET",0,"ANDRE FOSSET",0,"ANDRE FOSSET",0
56,"ANDRE JARROT",0,"ANDRE JARROT",0,"ANDRE JARROT",0,"ANDRE JARROT",0
57,"ANDRE JOURDAIN",0,"ANDRE JOURDAIN",0,"ANDRE JOURDAIN",0,"ANDRE JOURDAIN",0
58,"ANDRE MAMAN",0,"ANDRE MAMAN",0,"ANDRE MAMAN",0,"ANDRE MAMAN",0
59,"ANDRE POURNY",0,"ANDRE POURNY",0,"ANDRE POURNY",0,"ANDRE POURNY",0
60,"ANDRE ROUVIERE",0,"ANDRE ROUVIERE",0,"ANDRE ROUVIERE",0,"ANDRE ROUVIERE",0
61,"ANDRE VEZINHET",0,"ANDRE VEZINHET",0,"ANDRE VEZINHET",0,"ANDRE VEZINHET",0
62,"ANNE HEINIS",0,"ANNE HEINIS",0,"ANNE HEINIS",0,"ANNE HEINIS",0
63,"ANNICK BOCANDE",0,"ANNICK BOCANDE",0,"ANNICK BOCANDE",0,"ANNICK BOCANDE",0
64,"AUBERT GARCIA",0,"AUBERT GARCIA",0,"AUBERT GARCIA",0,"AUBERT GARCIA",0
65,"AUGUSTE CAZALET",0,"AUGUSTE CAZALET",0,"AUGUSTE CAZALET",0,"AUGUSTE CAZALET",0
66,"BERNARD BARRAUX",0,"BERNARD BARRAUX",0,"BERNARD BARRAUX",0,"BERNARD BARRAUX",0
67,"BERNARD DUSSAUT",0,"BERNARD DUSSAUT",0,"BERNARD DUSSAUT",0,"BERNARD DUSSAUT",0
68,"BERNARD HUGO",0,"BERNARD HUGO",0,"BERNARD HUGO",0,"BERNARD HUGO",0
69,"BERNARD PELLARIN",0,"BERNARD PELLARIN",0,"BERNARD PELLARIN",0,"BERNARD PELLARIN",0
70,"BERNARD PLASAIT",0,"BERNARD PLASAIT",0,"BERNARD PLASAIT",0,"BERNARD PLASAIT",0
71,"BERNARD SEILLIER",0,"BERNARD SEILLIER",0,"BERNARD SEILLIER",0,"BERNARD SEILLIER",0
72,"BERTRAND DELANOE",0,"BERTRAND DELANOE",0,"BERTRAND DELANOE",0,"BERTRAND DELANOE",0
73,"CAMILLE CABANA",0,"CAMILLE CABANA",0,"CAMILLE CABANA",0,"CAMILLE CABANA",0
74,"CHARLES DESCOURS",0,"CHARLES DESCOURS",0,"CHARLES DESCOURS",0,"CHARLES DESCOURS",0
75,"CHARLES GINESY",0,"CHARLES GINESY",0,"CHARLES GINESY",0,"CHARLES GINESY",0
76,"CHARLES LEDERMAN",0,"CHARLES LEDERMAN",0,"CHARLES LEDERMAN",0,"CHARLES LEDERMAN",0
77,"CHARLES METZINGER",0,"CHARLES METZINGER",0,"CHARLES METZINGER",0,"CHARLES METZINGER",0
78,"CHARLES PELLETIER",0,"CHARLES PELLETIER",0,"CHARLES PELLETIER",0,"CHARLES PELLETIER",0
79,"CHRISTIAN DEMUYNCK",0,"CHRISTIAN DEMUYNCK",0,"CHRISTIAN DEMUYNCK",0,"CHRISTIAN DEMUYNCK",0
80,"CHRISTIAN LA MALENE",0,"CHRISTIAN LA MALENE",0,"CHRISTIAN LA MALENE",0,"CHRISTIAN LA MALENE",0
81,"CLAUDE BILLARD",0,"CLAUDE BILLARD",0,"CLAUDE BILLARD",0,"CLAUDE BILLARD",0
82,"CLAUDE CORNAC",0,"CLAUDE CORNAC",0,"CLAUDE CORNAC",0,"CLAUDE CORNAC",0
83,"CLAUDE FUZIER",0,"CLAUDE FUZIER",0,"CLAUDE FUZIER",0,"CLAUDE FUZIER",0
84,"CLAUDE HAUT",0,"CLAUDE HAUT",0,"CLAUDE HAUT",0,"CLAUDE HAUT",0
85,"CLAUDE LISE",0,"CLAUDE LISE",0,"CLAUDE LISE",0,"CLAUDE LISE",0
86,"CLAUDE PRADILLE",0,"CLAUDE PRADILLE",0,"CLAUDE PRADILLE",0,"CLAUDE PRADILLE",0
87,"CLAUDE SAUNIER",0,"CLAUDE SAUNIER",0,"CLAUDE SAUNIER",0,"CLAUDE SAUNIER",0
88,"DANIEL ECKENSPIELLER",0,"DANIEL ECKENSPIELLER",0,"DANIEL ECKENSPIELLER",0,"DANIEL ECKENSPIELLER",0
89,"DANIEL GOULET",0,"DANIEL GOULET",0,"DANIEL GOULET",0,"DANIEL GOULET",0
90,"DANIEL HOEFFEL",0,"DANIEL HOEFFEL",0,"DANIEL HOEFFEL",0,"DANIEL HOEFFEL",0
91,"DANIEL MILLAUD",0,"DANIEL MILLAUD",0,"DANIEL MILLAUD",0,"DANIEL MILLAUD",0
92,"DANIEL PERCHERON",0,"DANIEL PERCHERON",0,"DANIEL PERCHERON",0,"DANIEL PERCHERON",0
93,"DANIELE POURTAUD",0,"DANIELE POURTAUD",0,"DANIELE POURTAUD",0,"DANIELE POURTAUD",0
94,"DANIELLE BIDARD REYDET",0,"DANIELLE BIDARD REYDET",0,"DANIELLE BIDARD REYDET",0,"DANIELLE BIDARD REYDET",0
95,"DESIRE DEBAVELAERE",0,"DESIRE DEBAVELAERE",0,"DESIRE DEBAVELAERE",0,"DESIRE DEBAVELAERE",0
96,"DOMINIQUE BRAYE",0,"DOMINIQUE BRAYE",0,"DOMINIQUE BRAYE",0,"DOMINIQUE BRAYE",0
97,"DOMINIQUE LARIFLA",0,"DOMINIQUE LARIFLA",0,"DOMINIQUE LARIFLA",0,"DOMINIQUE LARIFLA",0
98,"DOMINIQUE LECLERC",0,"DOMINIQUE LECLERC",0,"DOMINIQUE LECLERC",0,"DOMINIQUE LECLERC",0
99,"EDMOND LAURET",0,"EDMOND LAURET",0,"EDMOND LAURET",0,"EDMOND LAURET",0
100,"EMMANUEL HAMEL",0,"EMMANUEL HAMEL",0,"EMMANUEL HAMEL",0,"EMMANUEL HAMEL",0
101,"ERIC BOYER",0,"ERIC BOYER",0,"ERIC BOYER",0,"ERIC BOYER",0
102,"ERNEST CARTIGNY",0,"ERNEST CARTIGNY",0,"ERNEST CARTIGNY",0,"ERNEST CARTIGNY",0
103,"FELIX LEYZOUR",0,"FELIX LEYZOUR",0,"FELIX LEYZOUR",0,"FELIX LEYZOUR",0
104,"FERNAND DEMILLY",0,"FERNAND DEMILLY",0,"FERNAND DEMILLY",0,"FERNAND DEMILLY",0
105,"FERNAND TARDY",0,"FERNAND TARDY",0,"FERNAND TARDY",0,"FERNAND TARDY",0
106,"FRANCIS CAVALIER BENEZET",0,"FRANCIS CAVALIER BENEZET",0,"FRANCIS CAVALIER BENEZET",0,"FRANCIS CAVALIER BENEZET",0
107,"FRANCIS GRIGNON",0,"FRANCIS GRIGNON",0,"FRANCIS GRIGNON",0,"FRANCIS GRIGNON",0
108,"FRANCK SERUSCLAT",0,"FRANCK SERUSCLAT",0,"FRANCK SERUSCLAT",0,"FRANCK SERUSCLAT",0
