"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"GERARD CESAR",237,"GERARD CESAR",16.6860474420071,"JEAN PIERRE DEMERLIAT",2.3,"FRANCOIS BLAIZOT",1.29903810567666
2,"JEAN PIERRE RAFFARIN",169,"JEAN PAUL DELEVOYE",15.979932402364,"JEAN POURCHET",2.06666666666667,"JACQUES DONNAY",1.29903810567666
3,"ALAIN VASSELLE",157,"JEAN PIERRE RAFFARIN",15.8970748383779,"LOUIS SOUVET",2.0024580096849,"JEAN MICHEL BAYLET",1.2411725340416
4,"JACQUES OUDIN",150,"LOUIS SOUVET",14.2214014421285,"JEAN PAUL DELEVOYE",1.99498624675095,"JEAN PIERRE DEMERLIAT",1.10304125036193
5,"BERNARD MURAT",133,"ALAIN VASSELLE",12.5299640861417,"DOMINIQUE BRAYE",1.99130434782609,"PAUL DUBRULE",1.08660490495798
6,"JEAN PAUL DELEVOYE",128,"JACQUES OUDIN",12.2552038724261,"JOSEPH OSTERMANN",1.98495709577927,"ALAIN DUFAUT",1
7,"JEAN PAUL AMOUDRY",123,"MICHEL CHARZAT",12.2474487139159,"MICHEL CHARZAT",1.97368421052632,"ANDRE FERRAND",1
8,"CLAUDE HURIET",121,"JOSEPH OSTERMANN",12.2013024789752,"JACQUES BLANC",1.96530214424951,"CLAUDE DOMEIZEL",1
9,"DANIEL ECKENSPIELLER",121,"MONIQUE CERISIER BEN GUIGA",12.0583088905216,"RENE GARREC",1.95390417250882,"YVES FREVILLE",0.872274414574329
10,"BERNARD FOURNIER",114,"JEAN CLAUDE CARLE",11.9416970973604,"PIERRE LEFEBVRE",1.88944133208839,"SERGE LAGAUCHE",0.868003084833923
11,"JEAN CLAUDE CARLE",106,"BERNARD MURAT",11.5325625946708,"MONIQUE CERISIER BEN GUIGA",1.88834822466536,"SERGE VINCON",0.848351415952103
12,"XAVIER DARCOS",102,"JEAN PAUL AMOUDRY",11.0945454399598,"JEAN MICHEL BAYLET",1.83333333333333,"JEAN POURCHET",0.767114201101025
13,"LOUIS SOUVET",101,"CLAUDE HURIET",11,"JOEL BOURDIN",1.80089610729058,"YVES DETRAIGNE",0.754170522313163
14,"GEORGES MOULY",100,"DANIEL ECKENSPIELLER",11,"JEAN YVES AUTEXIER",1.76507936507937,"FRANCOIS AUTAIN",0.727544491872711
15,"GEORGES GRUILLOT",99,"LADISLAS PONIATOWSKI",10.7584860294105,"SERGE VINCON",1.71428571428571,"JEAN PAUL HUGOT",0.72299645385356
16,"DENIS BADRE",97,"XAVIER DARCOS",10.7038043971024,"XAVIER DUGOIN",1.69047619047619,"AYMERI MONTESQUIOU",0.707106781186548
17,"CLAUDE ESTIER",91,"BERNARD FOURNIER",10.6770782520313,"PAUL DUBRULE",1.67777777777778,"BERTRAND DELANOE",0.707106781186548
18,"JOSSELIN ROHAN",90,"GEORGES MOULY",10.6399792885978,"MARIE CLAUDE BEAUDEAU",1.6507326007326,"CHARLES REVET",0.707106781186548
