"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"RICHARD MALLIE",306,"JEAN PIERRE DECOOL",297.993358722726,"MARTINE BILLARD",644.700494926659,"MARTINE BILLARD",3341.42243759168
2,"MARC FUR",266,"CHRISTIAN ECKERT",259.122110641609,"NOEL MAMERE",524.558427218957,"ANDRE CHASSAIGNE",2379.67667242687
3,"JEAN PIERRE DECOOL",247,"FRANCOIS BROTTES",227.450371707319,"ANDRE CHASSAIGNE",514.141171495264,"NOEL MAMERE",2356.15647355167
4,"YANICK PATERNOTTE",234,"CHARLES COURSON",201.806579647354,"JEAN PIERRE BRARD",506.859869959211,"JEAN PIERRE BRARD",2329.30436686302
5,"MURIEL MARLAND MILITELLO",231,"JEAN YVES BOUILLONNEC",194.095271547717,"JEAN JACQUES URVOAS",506.776367211763,"YVES COCHET",1951.03098925773
6,"JACQUES REMILLER",229,"JEAN JACQUES URVOAS",186.99617466037,"YVES COCHET",437.505656112725,"JEAN CLAUDE SANDRIER",1447.56704968058
7,"LIONNEL LUCA",221,"SANDRINE MAZETIER",182.03918940964,"CHRISTIAN ECKERT",436.001741710146,"JACQUELINE FRAYSSE",1391.1921253033
8,"MICHEL PIRON",184,"MARC FUR",180.306634867422,"JEAN CLAUDE SANDRIER",369.116001943412,"ROLAND MUZEAU",1380.56426196237
9,"MARIE JO ZIMMERMANN",180,"LIONEL TARDY",171.846050071834,"ROLAND MUZEAU",362.535957204205,"JEAN JACQUES URVOAS",1373.40930546201
10,"BERNARD DEPIERRE",176,"MARISOL TOURAINE",163.830538156454,"JEAN PIERRE DECOOL",359.514339444743,"DANIEL PAUL",1306.25078930724
11,"PATRICK BEAUDOUIN",173,"LIONNEL LUCA",162.633194640272,"JACQUELINE FRAYSSE",359.46931249494,"FRANCOIS RUGY",1248.09594134576
12,"BERNARD REYNES",171,"JEROME CAHUZAC",161.069436123728,"DANIEL PAUL",339.828910071575,"PATRICK BRAOUEZEC",1216.56742564801
13,"FRANCOIS BROTTES",167,"DOMINIQUE TIAN",157.666478742687,"PATRICK BRAOUEZEC",333.22490954498,"JEAN LUC PREEL",842.417145124349
14,"CHRISTIAN ESTROSI",166,"ALAIN VIDALIES",156.273227366437,"CHARLES COURSON",328.434641846482,"MICHEL VAXES",824.930934227567
15,"ELIE ABOUD",166,"BERNARD DEROSIER",154.663708475131,"FRANCOIS BROTTES",309.782464609565,"PIERRE GOSNAT",815.797997897588
16,"BERNARD CARAYON",164,"PATRICK BLOCHE",154.47376557461,"FRANCOIS RUGY",292.104764984813,"CHRISTIAN ECKERT",733.621373736045
17,"DOMINIQUE TIAN",161,"PIERRE ALAIN MUET",152.08946098029,"SANDRINE MAZETIER",271.625135089499,"CHARLES COURSON",534.518320231792
18,"GERARD BAPT",159,"VICTORIN LUREL",150.923205283566,"JEAN YVES BOUILLONNEC",259.813616808153,"NICOLAS PERRUCHOT",477.545566555823
19,"MICHEL RAISON",159,"JACQUES REMILLER",150.817601580999,"JEAN LUC PREEL",253.665113808401,"GERARD CHARASSE",470.664099507888
20,"CHRISTIAN ECKERT",154,"JEAN GAUBERT",149.288922238834,"MICHEL VAXES",246.463504794018,"JEAN PIERRE DECOOL",433.736378623972
21,"VALERIE BOYER",154,"BRUNO ROUX",144.172181861694,"PIERRE GOSNAT",244.64104153746,"FRANCOIS BROTTES",421.916986370389
22,"GEORGES COLOMBIER",154,"MARIETTA KARAMANLI",143.624688779719,"JEROME CAHUZAC",240.216326418663,"MARIE GEORGE BUFFET",421.625131864752
23,"LOUIS GISCARD ESTAING",150,"SERGE LETCHIMY",143.217160009698,"GERARD CHARASSE",231.492393057359,"MARIE HELENE AMIABLE",417.200301302029
24,"LAURE LA RAUDIERE",149,"AURELIE FILIPPETTI",136.131084858519,"ALAIN VIDALIES",210.528634409674,"SANDRINE MAZETIER",405.298519794888
25,"LIONEL TARDY",147,"YANICK PATERNOTTE",135.79477979449,"MARISOL TOURAINE",209.690978379949,"OLIVIER JARDE",393.817826952675
26,"JEAN YVES BOUILLONNEC",145,"JEAN MICHEL CLEMENT",134.823354680942,"BERNARD DEROSIER",204.451818113507,"JEROME CAHUZAC",358.25470596266
27,"CLAUDE BODIN",140,"MURIEL MARLAND MILITELLO",127.853599525944,"OLIVIER JARDE",201.815973657687,"JEAN YVES BOUILLONNEC",347.7834103874
28,"DANIEL FASQUELLE",136,"CORINNE ERHEL",127.672885328777,"LIONEL TARDY",200.891598131234,"MAXIME GREMETZ",333.684740579934
29,"SEBASTIEN HUYGHE",136,"DANIEL GOLDBERG",125.060733748374,"PIERRE ALAIN MUET",199.406932252372,"JEAN JACQUES CANDELIER",323.142396807877
30,"VICTORIN LUREL",135,"GERMINAL PEIRO",124.431691214847,"PATRICK BLOCHE",192.436647183868,"PHILIPPE VIGIER",316.493411908296
31,"PIERRE MOREL HUISSIER",134,"MARTINE BILLARD",124.38975793143,"JEAN MICHEL CLEMENT",191.340389130768,"JEAN PAUL LECOQ",296.68066456056
32,"JEAN GAUBERT",132,"PHILIPPE TOURTELIER",120.035229861622,"PHILIPPE VIGIER",181.813809374691,"ALAIN VIDALIES",283.620596140074
33,"FRANCOISE HOSTALIER",132,"CATHERINE LEMORTON",118.798663256602,"MARIETTA KARAMANLI",171.90042689226,"JACQUES DESALLANGRE",283.546353462144
34,"PHILIPPE COCHET",132,"NOEL MAMERE",116.784070436395,"NICOLAS PERRUCHOT",171.192252100185,"JEAN MICHEL CLEMENT",271.54898051123
35,"BRUNO ROUX",130,"CHRISTIAN PAUL",115.148798367151,"SERGE LETCHIMY",170.926291010362,"BERNARD DEROSIER",270.267319606136
36,"LOUIS COSYNS",129,"GERARD CHARASSE",113.857691928179,"JEAN GAUBERT",168.842290176005,"MARISOL TOURAINE",268.388951832347
37,"MARYLISE LEBRANCHU",129,"ANDRE CHASSAIGNE",111.082798469819,"VICTORIN LUREL",168.724547356039,"PIERRE ALAIN MUET",261.445627948245
38,"MARISOL TOURAINE",128,"JEAN PIERRE BRARD",110.293412672839,"MARIE GEORGE BUFFET",164.411047463318,"DOMINIQUE RAIMBOURG",259.169268938162
39,"FRANCOISE BRANGET",128,"DANIEL FASQUELLE",108.919317842495,"BRUNO ROUX",159.889369405856,"DIDIER MATHUS",258.792960722845
40,"JEAN CLAUDE BOUCHET",128,"GERARD BAPT",108.170546505746,"MARIE HELENE AMIABLE",156.448223450834,"FRANCOIS ASENSI",246.720809059073
41,"FRANCOIS PUPPONI",127,"CHRISTOPHE CARESCHE",106.014389308745,"DOMINIQUE RAIMBOURG",155.519557344386,"MANUEL VALLS",241.601140669327
