"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"JEAN PIERRE SUEUR",101,"JEAN PIERRE SUEUR",119.339495101311,"ELIANE ASSASSI",295.775,"ELIANE ASSASSI",1798.44516679024
2,"THIERRY REPENTIN",96,"NICOLE BRICQ",118.038654173058,"NICOLE BORVO COHEN SEAT",294.375,"NICOLE BORVO COHEN SEAT",1597.17089204582
3,"MICHELE ANDRE",95,"RICHARD YUNG",97.3605781086029,"GUY FISCHER",262.666666666667,"GUY FISCHER",1419.01239637642
4,"ANTOINE LEFEVRE",94,"MICHEL TESTON",79.9658441027534,"YVON COLLIN",247.650989288489,"JOSIANE MATHON POINAT",1056.04248318118
5,"ALAIN FOUCHE",93,"ALAIN ANZIANI",75.8479986524062,"ANNIE DAVID",207.213095238095,"YVON COLLIN",871.45527477295
6,"NICOLE BRICQ",92,"JACKY MENN",72.1996539962141,"JOSIANE MATHON POINAT",198.375,"ANNIE DAVID",745.70285480367
7,"JACQUES GILLOT",83,"CHRISTIANE DEMONTES",71.3847262183871,"JACQUES MEZARD",158.30566031191,"ISABELLE PASQUET",676.136034864372
8,"FRANCOIS PATRIAT",83,"YVON COLLIN",70.3776938082642,"NICOLE BRICQ",151.446998684638,"FRANCOIS AUTAIN",595.252728374883
9,"JACKY MENN",82,"ROLAND COURTEAU",65.9706547085858,"JEAN CLAUDE DANGLOT",150.85,"JEAN CLAUDE DANGLOT",558.626622671009
10,"CLAUDE BERIT DEBAT",81,"FRANCOIS MARC",63.1891943371904,"ISABELLE PASQUET",147.363095238095,"JACQUES MEZARD",456.949140646628
11,"CLAUDE DOMEIZEL",78,"PIERRE YVES COLLOMBAT",62.4125526740177,"BERNARD VERA",143.888095238095,"THIERRY FOUCAUD",449.427684421496
12,"RICHARD YUNG",77,"ALIMA BOUMEDIENE THIERY",60.6125907469037,"JEAN PIERRE SUEUR",141.009060307285,"BERNARD VERA",406.81882651768
13,"ROLAND COURTEAU",76,"PHILIPPE DOMINATI",60.6034694050209,"FRANCOIS AUTAIN",135.363095238095,"MARIE FRANCE BEAUFILS",352.8078135939
14,"YANNICK BOTREL",76,"THIERRY REPENTIN",60.4301509850917,"RICHARD YUNG",123.104963242096,"GELITA HOARAU",344.242776313443
15,"ROLAND RIES",75,"JEAN PIERRE GODEFROY",59.6148936971909,"THIERRY FOUCAUD",117.346428571429,"GERARD CAM",213.146248482556
16,"PIERRE YVES COLLOMBAT",74,"ANNIE DAVID",57.5795929458478,"MICHEL TESTON",110.250624535618,"NICOLE BRICQ",194.310868513951
17,"CHARLES REVET",74,"MICHELE ANDRE",56.6110627347158,"GELITA HOARAU",109.238095238095,"JEAN PIERRE SUEUR",166.613366948334
18,"DOMINIQUE BRAYE",74,"JACQUES MEZARD",54.8434822556545,"MARIE FRANCE BEAUFILS",107.570238095238,"ODETTE TERRADE",156.561064258895
19,"GERARD COLLOMB",74,"NICOLE BORVO COHEN SEAT",54.2563360355268,"CHRISTIANE DEMONTES",86.3691379198998,"RICHARD YUNG",155.656758302451
20,"BERNADETTE BOURZAI",74,"JACQUES GILLOT",53.552839705059,"ALIMA BOUMEDIENE THIERY",85.4392129546891,"MICHEL TESTON",152.004900928387
21,"JEAN PIERRE BEL",74,"JACQUES MULLER",52.5156236044006,"JEAN DESESSARD",79.7614246642957,"JEAN DESESSARD",134.620233081939
22,"ALAIN ANZIANI",73,"JEAN ETIENNE ANTOINETTE",52.0725461055445,"ALAIN ANZIANI",78.8071082133619,"ALIMA BOUMEDIENE THIERY",120.434698803724
23,"MICHEL HOUEL",73,"ALAIN MILON",51.8061584856313,"GERARD CAM",76.875,"MIREILLE SCHURCH",108.126822248037
24,"DANIEL RAOUL",73,"CLAUDE BERIT DEBAT",51.7761614019617,"ODETTE TERRADE",74.6916666666667,"CHRISTIANE DEMONTES",104.498936680172
25,"FRANCOIS MARC",72,"ODETTE HERVIAUX",51.1112669686178,"PHILIPPE DOMINATI",73.4556100785062,"EVELYNE DIDIER",99.3421502702277
26,"JEAN LUC FICHET",72,"BERNARD VERA",50.8919022466808,"JEAN PIERRE GODEFROY",69.6850107946542,"DOMINIQUE VOYNET",89.4458076039415
27,"MARYVONNE BLONDIN",71,"BERNARD CAZEAU",50.4026759885155,"JACQUES MULLER",64.1369935478855,"PHILIPPE DOMINATI",89.033296360398
28,"DIDIER GUILLAUME",71,"ELIANE ASSASSI",48.6436018403243,"JACKY MENN",63.5706102094272,"ANNE MARIE ESCOFFIER",83.9511551267961
29,"CHRISTIAN DEMUYNCK",69,"GUY FISCHER",48.6209831245729,"DOMINIQUE VOYNET",62.1460807023951,"ALAIN ANZIANI",81.8816635283165
30,"JEAN ETIENNE ANTOINETTE",68,"CATHERINE PROCACCIA",47.8059225426227,"ROLAND COURTEAU",57.264832666835,"JEAN PIERRE GODEFROY",81.4561668786453
31,"YVES KRATTINGER",68,"JEAN DESESSARD",47.2580140357197,"ALAIN MILON",55.9141261882989,"FRANCOISE LABORDE",78.7621135212191
32,"CATHERINE PROCACCIA",67,"YVES DAUDIGNY",46.8759617828003,"FRANCOIS MARC",55.456587235878,"JACQUES MULLER",78.330097959968
33,"RENEE NICOUX",67,"SERGE LARCHER",46.7970573691755,"EVELYNE DIDIER",54.05,"FRANCOIS FORTASSIN",76.8086574454792
34,"BERNARD CAZEAU",65,"REMY POINTEREAU",46.6951909702372,"MIREILLE SCHURCH",53.3666666666667,"JEAN MILHAU",67.6531582754329
35,"LOUIS NEGRE",65,"MARYVONNE BLONDIN",46.678509264287,"PIERRE YVES COLLOMBAT",52.6395504227977,"BRIGITTE GONTHIER MAURIN",67.1174317437329
36,"ADRIEN GOUTEYRON",65,"MICHEL HOUEL",46.6681718028019,"ANNE MARIE ESCOFFIER",49.2985438172938,"ROBERT TROPEANO",63.0277921280146
37,"VIRGINIE KLES",64,"JEAN CLAUDE PEYRONNET",46.2705338639613,"ODETTE HERVIAUX",49.2898417195722,"ALAIN MILON",60.3478350603459
38,"JEAN CLAUDE PEYRONNET",63,"CHARLES REVET",46.2662381066645,"FRANCOIS FORTASSIN",49.0474893162393,"MICHEL CHARASSE",59.99960108464
