"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"RICHARD MALLIE",337,"JEAN PIERRE DECOOL",347.979380690153,"MARTINE BILLARD",707.333259405478,"MARTINE BILLARD",3493.30994479084
2,"JEAN PIERRE DECOOL",323,"JEAN JACQUES URVOAS",318.109174164354,"JEAN PIERRE BRARD",557.574776245575,"JEAN PIERRE BRARD",2488.1448661647
3,"MURIEL MARLAND MILITELLO",309,"CHRISTIAN ECKERT",264.840222391212,"NOEL MAMERE",544.871383367758,"ANDRE CHASSAIGNE",2370.9444693227
4,"CHRISTIAN JACOB",306,"CHARLES COURSON",257.538770313209,"YVES COCHET",531.923070261408,"NOEL MAMERE",2361.79391914542
5,"MARC FUR",303,"FRANCOIS BROTTES",247.283875575594,"ANDRE CHASSAIGNE",526.751002579009,"YVES COCHET",2168.69386496488
6,"VALERIE BOYER",303,"SANDRINE MAZETIER",224.668237348971,"JEAN JACQUES URVOAS",511.07801357337,"JEAN CLAUDE SANDRIER",1557.95887322612
7,"PIERRE MOREL HUISSIER",303,"OLIVIER JARDE",216.213543751284,"CHRISTIAN ECKERT",438.377146226418,"ROLAND MUZEAU",1483.9954295575
8,"PHILIPPE ARMAND MARTIN",303,"LIONEL TARDY",213.084855757215,"JEAN CLAUDE SANDRIER",392.962096598927,"FRANCOIS RUGY",1447.38664972439
9,"JEAN FRANCOIS COPE",301,"GERARD CHARASSE",209.327210888851,"ROLAND MUZEAU",385.430570870613,"JACQUELINE FRAYSSE",1432.97689210752
10,"JEAN MARC ROUBAUD",300,"BERNARD DEROSIER",205.963651954418,"FRANCOIS RUGY",379.065410975434,"DANIEL PAUL",1301.38682934385
11,"LIONNEL LUCA",297,"LIONNEL LUCA",204.130594081436,"JACQUELINE FRAYSSE",376.545308304661,"PATRICK BRAOUEZEC",1173.09232947437
12,"CHRISTIAN ESTROSI",297,"JEAN YVES BOUILLONNEC",199.283337703361,"JEAN PIERRE DECOOL",374.890555373073,"MICHEL VAXES",897.845881630204
13,"JACQUES REMILLER",296,"MARC FUR",197.349349353027,"PATRICK BRAOUEZEC",367.272967176088,"PIERRE GOSNAT",852.53402581882
14,"CHRISTIAN MENARD",286,"ALAIN VIDALIES",195.746299144173,"DANIEL PAUL",348.53864702145,"JEAN JACQUES URVOAS",821.104064804966
15,"ANDRE WOJCIECHOWSKI",285,"JACQUES REMILLER",180.141822664054,"CHARLES COURSON",333.297578967034,"CHRISTIAN ECKERT",725.624380611434
16,"CHRISTIAN VANNESTE",281,"DOMINIQUE TIAN",178.195939933838,"FRANCOIS BROTTES",315.202655256114,"MARIE HELENE AMIABLE",459.268639024585
17,"BERNARD GERARD",279,"PHILIPPE VIGIER",178.143228858314,"SANDRINE MAZETIER",274.325091703769,"MARIE GEORGE BUFFET",458.777819453849
18,"ERIC CIOTTI",278,"VICTORIN LUREL",176.811481412817,"MICHEL VAXES",272.132993817463,"JEAN LUC PREEL",443.288725476417
19,"FRANCOISE HOSTALIER",271,"MARISOL TOURAINE",168.822293531903,"JEAN LUC PREEL",262.454324378114,"CHARLES COURSON",431.34195294241
20,"JACQUES PELISSARD",269,"JEROME CAHUZAC",164.688613144843,"JEAN YVES BOUILLONNEC",261.275320303893,"JEAN PIERRE DECOOL",403.882920387955
21,"PATRICK BEAUDOUIN",269,"DANIEL GOLDBERG",161.840944284885,"PIERRE GOSNAT",255.691972145636,"FRANCOIS BROTTES",401.775949399226
22,"YANICK PATERNOTTE",268,"MURIEL MARLAND MILITELLO",159.227059114484,"JEROME CAHUZAC",242.163743746176,"JEROME CAHUZAC",356.085813495723
23,"YANNICK FAVENNEC",268,"DANIEL FASQUELLE",158.741833065924,"ALAIN VIDALIES",214.059294014749,"NICOLAS PERRUCHOT",352.843086094113
24,"MARC BERNIER",265,"PATRICK BLOCHE",157.561388539331,"MARISOL TOURAINE",212.693782040089,"JEAN YVES BOUILLONNEC",342.5514334847
25,"ELIE ABOUD",264,"PIERRE ALAIN MUET",156.691056599999,"GERARD CHARASSE",209.654934059835,"SANDRINE MAZETIER",334.957254422177
26,"DANIEL FASQUELLE",263,"CORINNE ERHEL",156.230438723176,"BERNARD DEROSIER",206.931833787321,"MAXIME GREMETZ",323.044914362456
27,"DAMIEN MESLOT",263,"FRANCOISE HOSTALIER",155.580540264469,"LIONEL TARDY",203.610563915126,"JEAN JACQUES CANDELIER",314.780541171554
28,"LOUIS GISCARD ESTAING",260,"JEAN LUC PREEL",155.389181871797,"PIERRE ALAIN MUET",201.24661654446,"JEAN PAUL LECOQ",311.123240094596
29,"BERNARD REYNES",260,"JEAN GAUBERT",153.91829291855,"PATRICK BLOCHE",193.949930925328,"JACQUES DESALLANGRE",294.807633744397
30,"GEORGES COLOMBIER",260,"VALERIE BOYER",153.094230997469,"JEAN MICHEL CLEMENT",192.707572508734,"FRANCOIS ASENSI",268.677297150895
31,"OLIVIER JARDE",259,"YANICK PATERNOTTE",152.814375130252,"PHILIPPE VIGIER",187.781124189738,"MARISOL TOURAINE",267.966060477482
32,"GENEVIEVE LEVY",257,"SERGE LETCHIMY",152.523084634995,"SERGE LETCHIMY",186.106330772592,"JEAN MICHEL CLEMENT",259.833556895653
33,"BERNARD CARAYON",255,"GERMINAL PEIRO",152.265625553889,"MARIE GEORGE BUFFET",180.629058831317,"PIERRE ALAIN MUET",258.471680192838
34,"ALAIN MOYNE BRESSAND",255,"MARIETTA KARAMANLI",151.88796339342,"OLIVIER JARDE",180.495353287601,"ALAIN BOCQUET",255.549934496679
35,"ERIC DIARD",250,"PIERRE MOREL HUISSIER",149.277866831939,"MARIETTA KARAMANLI",176.106514685503,"ANDRE GERIN",252.514331402565
36,"JEAN CLAUDE GUIBAL",250,"BRUNO ROUX",149.03144427445,"VICTORIN LUREL",175.630898648286,"PATRICK BLOCHE",238.742347060172
37,"BERNARD DEPIERRE",248,"CATHERINE LEMORTON",147.472795014964,"NICOLAS PERRUCHOT",174.935208301831,"ALAIN VIDALIES",234.08555642906
