"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"ROLAND NUNGESSER",203,"JEAN LOUIS MASSON",42.869796542262,"JEAN LOUIS MASSON",10.623233847254,"CLAUDE BIRRAUX",2.70565773442056
2,"FRANCOIS ROCHEBLOINE",192,"CHRISTINE BOUTIN",36.8187406564175,"CLAUDE BIRRAUX",9.93612022621892,"JEAN LOUIS MASSON",2.63246169741416
3,"JEAN LOUIS MASSON",173,"CLAUDE BIRRAUX",36.4889039341186,"CHRISTINE BOUTIN",7.83595181228052,"CHRISTINE BOUTIN",1.6676871535985
4,"CHRISTINE BOUTIN",173,"FRANCOIS ROCHEBLOINE",35.4218743197465,"DENIS JACQUAT",6.73494096876503,"DENIS JACQUAT",1.45653003372148
5,"PASCAL CLEMENT",168,"JEAN PAUL FUCHS",31.7414194042976,"FRANCOIS ROCHEBLOINE",6.5349436475204,"EDOUARD LANDRAIN",1.28635248244402
6,"JEAN PAUL FUCHS",166,"DENIS JACQUAT",31.1421177748426,"JEAN PAUL FUCHS",6.06938376987661,"RENE COUANAU",1.26039164161288
7,"FRANCOIS HARCOURT",162,"MICHEL PELCHAT",29.4457090247826,"RENE COUANAU",5.70688292936534,"FRANCOIS ROCHEBLOINE",1.20562475296403
8,"MICHEL PELCHAT",156,"JOSEPH HENRI MAUJOUAN GASSET",26.3319786074583,"MICHEL PELCHAT",5.55801141007799,"JEAN PAUL FUCHS",1.16054732388729
9,"PIERRE ANDRE WILTZER",156,"RENE COUANAU",25.839994247982,"EDOUARD LANDRAIN",4.98800730045271,"MICHEL PELCHAT",1.04909991498448
10,"FRANCISQUE PERRUT",155,"PASCAL CLEMENT",25.5856264369233,"JOSEPH HENRI MAUJOUAN GASSET",4.56166511436607,"JEAN PIERRE FOUCHER",0.978147893565521
11,"JOSEPH HENRI MAUJOUAN GASSET",152,"CHARLES MILLON",24.4981938742388,"JEAN PIERRE FOUCHER",4.34946492639173,"ALAIN LAMASSOURE",0.861324314687424
12,"JEAN BRIANE",152,"GEORGES COLOMBIER",24.3872443544411,"CHARLES MILLON",4.28686787928421,"PIERRE MAZEAUD",0.858650222269749
13,"JEAN LUC PREEL",152,"PIERRE ANDRE WILTZER",24.3625890081899,"GEORGES COLOMBIER",4.15900480561691,"YANN PIAT",0.791034714528477
14,"BERNARD BOSSON",152,"JEAN BRIANE",24.3096064012605,"LEONCE DEPREZ",4.03461319860205,"JOSEPH HENRI MAUJOUAN GASSET",0.790247817143922
15,"PHILIPPE VASSEUR",147,"MICHEL GIRAUD",24.136692408282,"MICHEL GIRAUD",4.01779255456566,"MICHEL VOISIN",0.771646682932499
16,"MICHEL GIRAUD",145,"FRANCISQUE PERRUT",23.9689760138174,"YANN PIAT",3.99635217013919,"JEAN MARIE DAILLET",0.768958007445653
17,"DENIS JACQUAT",144,"LEONCE DEPREZ",23.4245041571829,"HENRI GASTINES",3.9807854673587,"ADRIEN ZELLER",0.765308401804492
18,"BERNARD DEBRE",144,"PHILIPPE VASSEUR",22.4827826184669,"ADRIEN ZELLER",3.95967561635832,"HENRI GASTINES",0.764260267613099
19,"GEORGES COLOMBIER",143,"JEAN LUC PREEL",22.4479112957606,"PASCAL CLEMENT",3.89657309624873,"CHARLES MILLON",0.750146574428224
20,"RUDY SALLES",142,"HENRI GASTINES",20.7346287759087,"JEAN BRIANE",3.88787475910661,"RENE GALY DEJEAN",0.744755012720164
21,"CHARLES MILLON",140,"ADRIEN ZELLER",20.487206137831,"MICHEL VOISIN",3.86547534146435,"GEORGES COLOMBIER",0.709277387873246
22,"JEAN JACQUES JEGOU",138,"YANN PIAT",20.189797456988,"PIERRE MAZEAUD",3.82662045386245,"LEONCE DEPREZ",0.694917747377048
23,"LEONCE DEPREZ",136,"FRANCOIS HARCOURT",20.1257069891116,"PIERRE ANDRE WILTZER",3.80471630244857,"MICHEL GIRAUD",0.668801538274738
24,"JEAN BROCARD",135,"MICHEL VOISIN",19.3636543070269,"FRANCISQUE PERRUT",3.70652781387713,"JEAN PIERRE DELALANDE",0.637752464482927
25,"CLAUDE BIRRAUX",134,"EDOUARD LANDRAIN",19.3416790257194,"PHILIPPE VASSEUR",3.43860894060706,"JEAN BRIANE",0.62179411270577
26,"ELISABETH HUBERT",133,"JEAN PIERRE FOUCHER",19.3404752700053,"JEAN LUC PREEL",3.31518895751538,"PIERRE ANDRE WILTZER",0.594184228008427
27,"MICHEL PERICARD",132,"RUDY SALLES",18.7687939261895,"JEAN MARIE DAILLET",3.24896036801399,"PASCAL CLEMENT",0.593430140623722
28,"ANDRE SANTINI",128,"ANDRE SANTINI",18.4841551721644,"PIERRE MICAUX",3.1508533227096,"FRANCISQUE PERRUT",0.573172104937859
29,"GILBERT GANTIER",128,"GERARD VIGNOBLE",18.4510315241978,"ALAIN JONEMANN",3.03653403470663,"ALAIN JONEMANN",0.567293233603046
30,"JACQUES MASDEU ARUS",127,"ROLAND NUNGESSER",18.1712861760537,"GERMAIN GENGENWIN",2.90870636812034,"PIERRE MICAUX",0.562114363121199
31,"JEAN PAUL CHARIE",125,"BERNARD BOSSON",17.7473335864335,"GERARD VIGNOBLE",2.83700470255785,"AMBROISE GUELLEC",0.547629071784189
32,"PATRICK DEVEDJIAN",123,"MONIQUE PAPON",17.6890182787678,"CLAUDE GAILLARD",2.7160342303217,"PHILIPPE VASSEUR",0.525914947765887
33,"PIERRE REMY HOUSSIN",122,"CLAUDE GAILLARD",17.6732548356831,"MONIQUE PAPON",2.69742558333259,"ADRIEN DURAND",0.51967223496185
34,"GERARD VIGNOBLE",120,"PIERRE MICAUX",17.6616669357184,"ADRIEN DURAND",2.68903945698446,"JEAN LUC PREEL",0.489599129256517
35,"JEAN PIERRE PHILIBERT",119,"GERMAIN GENGENWIN",17.5591251211658,"JEAN JACQUES WEBER",2.6809309179986,"GERMAIN GENGENWIN",0.481833387344876
36,"CHRISTIAN ESTROSI",119,"GILBERT GANTIER",17.3585647100959,"ANDRE SANTINI",2.66924994084885,"BERNARD SCHREINER",0.476625508771064
37,"RENE COUANAU",117,"PIERRE MAZEAUD",17.0535378878855,"AMBROISE GUELLEC",2.62044317891063,"ALAIN MOYNE BRESSAND",0.468455976362572
38,"MONIQUE PAPON",116,"JEAN BROCARD",17.0127210933521,"BERNARD SCHREINER",2.58457646494623,"FRANCOIS MICHEL GONNOT",0.465483475779702
39,"CLAUDE GAILLARD",115,"JEAN PIERRE PHILIBERT",16.7452774157333,"FRANCOIS GRUSSENMEYER",2.50607488085051,"LAURENT FABIUS",0.447213595499958
