"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"CHRISTIAN PONCELET",186,"CHRISTIAN PONCELET",25.5147016443461,"NICOLE BORVO COHEN SEAT",15.0125995539282,"NICOLE BORVO COHEN SEAT",10.8015194406825
2,"ROBERT DEL PICCHIA",156,"ROBERT DEL PICCHIA",22.7839498324007,"CLAUDE BIWER",5.57118416854725,"RODOLPHE DESIRE",2.82842712474619
3,"PHILIPPE RICHERT",129,"ROLAND COURTEAU",21.984606482402,"MONIQUE CERISIER BEN GUIGA",5.31134428621143,"CLAUDE BIWER",2.2890975631248
4,"JACQUES OUDIN",121,"NICOLE BORVO COHEN SEAT",20.865411260359,"ANNIE DAVID",4.96865375126051,"ANNIE DAVID",2.21507326609088
5,"ALAIN VASSELLE",103,"HUBERT HAENEL",20.5855459141932,"ROLAND COURTEAU",4.93186655291911,"GEORGES OTHILY",1.99093501041758
6,"LOUIS BROISSIA",103,"JEAN PIERRE BEL",18.2549997864171,"HUBERT HAENEL",4.32412959780976,"GUY PENNE",1.72784206091758
7,"BERNARD PLASAIT",103,"MONIQUE CERISIER BEN GUIGA",17.0916335012669,"CHRISTIAN COINTAT",4.13614321042196,"MONIQUE CERISIER BEN GUIGA",1.6505372716177
8,"DOMINIQUE BRAYE",103,"PHILIPPE RICHERT",16.0988031450659,"YVES COQUELLE",4.03137820175092,"YVES COQUELLE",1.61886379510196
9,"JEAN CLAUDE GAUDIN",101,"CHRISTIAN COINTAT",15.8841032430458,"ROBERT BRET",3.86491896654168,"ROBERT BRET",1.55097560980498
10,"JEAN PIERRE SUEUR",100,"ALAIN VASSELLE",15.5275128917007,"FRANCOIS AUTAIN",3.76298701298701,"FRANCOIS AUTAIN",1.43156939505092
11,"DANIEL GOULET",99,"JACQUES OUDIN",14.4445260580848,"ROLAND MUZEAU",3.63487872421696,"ROLAND MUZEAU",1.30965188535462
12,"ROLAND COURTEAU",98,"LOUIS BROISSIA",14.3504559053191,"YVES DETRAIGNE",3.51532793166989,"HELENE LUC",1.26372515386471
13,"HUBERT HAENEL",98,"JEAN PIERRE SUEUR",13.5944233751518,"JEAN PIERRE BEL",3.50784228633777,"MICHELLE DEMESSINE",1.11743665845271
14,"ALAIN FOUCHE",98,"CLAUDE BIWER",13.5590957501619,"CHRISTIAN PONCELET",3.5,"ROLAND COURTEAU",1.10637903458824
15,"NICOLE BRICQ",97,"ROGER MADEC",13.1637709391459,"HELENE LUC",3.41781398818671,"CHRISTIAN COINTAT",1.07703157020271
16,"CLAUDE DOMEIZEL",96,"ALAIN FOUCHE",13.0822349823448,"ROBERT DEL PICCHIA",3.32761775618815,"YVES DETRAIGNE",1.04212249781077
17,"JEAN PIERRE BEL",95,"BERNARD PLASAIT",12.5105096663835,"MICHELLE DEMESSINE",3.10612567649839,"RAYMOND COURRIERE",0.926279914858323
18,"JOELLE GARRIAUD MAYLAM",93,"BERNARD MURAT",12.4047482432647,"ROGER MADEC",2.79491718287585,"GUY FISCHER",0.92407014115503
19,"BERNARD MURAT",83,"JEAN CLAUDE CARLE",11.9811341915329,"GUY FISCHER",2.73657300694572,"HUBERT HAENEL",0.908311922190149
20,"ANDRE LARDEUX",82,"YVES DETRAIGNE",11.8580401950236,"ANDRE VALLET",2.65006134574452,"JACK RALITE",0.806822426501683
21,"JEAN CLAUDE CARLE",81,"JOELLE GARRIAUD MAYLAM",11.467795151596,"MARIE FRANCE BEAUFILS",2.56990634027906,"MARIE FRANCE BEAUFILS",0.765027320412759
22,"JEAN FRANCOIS GRAND",77,"ROGER KAROUTCHI",11.4183209656695,"GEORGES OTHILY",2.51222222222222,"JOSIANE MATHON POINAT",0.719895504090972
23,"ANDRE TRILLARD",69,"NICOLE BRICQ",11.4125706883477,"JACK RALITE",2.49989857027129,"JEAN PIERRE BEL",0.67405958092506
24,"JACQUES LEGENDRE",69,"ANNIE DAVID",11.1452386148307,"GUY PENNE",2.46221532091097,"ELIANE ASSASSI",0.663592170812955
25,"ROGER BESSE",68,"IVAN RENAR",11.049164370402,"ALAIN VASSELLE",2.34081220001876,"ANDRE VALLET",0.65036558654958
26,"PATRICE GELARD",66,"ANDRE VALLET",10.7982729736175,"IVAN RENAR",2.26081543118815,"JEAN JACQUES HYEST",0.631836785027738
27,"SERGE LEPELTIER",64,"PATRICE GELARD",10.6970454105552,"ELIANE ASSASSI",2.16359904463353,"ROGER MADEC",0.593413703052593
28,"PIERRE FAUCHON",64,"JEAN PIERRE MICHEL",10.4150098803559,"ROGER KAROUTCHI",2.06949291547696,"EVELYNE DIDIER",0.580264666972659
29,"ROGER KAROUTCHI",63,"ROLAND MUZEAU",10.088439139831,"JOSIANE MATHON POINAT",2.0653608857336,"HENRI RAINCOURT",0.562832886004009
30,"ESTHER SITTLER",63,"YVES COQUELLE",10.0391461312092,"VALERIE LETARD",2.02403026825811,"LADISLAS PONIATOWSKI",0.54924856413512
31,"ROGER MADEC",62,"FRANCOIS AUTAIN",9.89129224811714,"PHILIPPE RICHERT",2.00908110622932,"MUGUETTE DINI",0.542097505714187
32,"JEAN PIERRE MICHEL",62,"SERGE LEPELTIER",9.83974835586376,"RODOLPHE DESIRE",2,"ALIMA BOUMEDIENE THIERY",0.514069744828215
33,"CHRISTIAN COINTAT",61,"ROBERT BRET",9.63109833804019,"LOUIS BROISSIA",1.9993746086457,"CLAUDE ESTIER",0.499963555523112
34,"MONIQUE CERISIER BEN GUIGA",55,"JEAN FRANCOIS GRAND",9.62227185650116,"EVELYNE DIDIER",1.9784573677956,"THIERRY FOUCAUD",0.495376705862821
35,"JEAN PAUL ALDUY",55,"HELENE LUC",9.24366538255619,"RAYMOND COURRIERE",1.90045749328284,"CLAUDE LISE",0.48827692496673
36,"IVAN RENAR",54,"CLAUDE DOMEIZEL",9.17574492732755,"BERNARD MURAT",1.85394914432262,"ROBERT DEL PICCHIA",0.486001769348697
37,"CLAUDE SAUNIER",53,"DANIEL GOULET",9.02736247666941,"JEAN PIERRE SUEUR",1.84808346902873,"MICHEL BILLOUT",0.480121143773017
38,"CHARLES PASQUA",52,"VALERIE LETARD",8.88465983941232,"MUGUETTE DINI",1.80465811149635,"CHRISTIAN PONCELET",0.480115353522643
39,"GERARD LARCHER",51,"DOMINIQUE BRAYE",8.8246887381098,"JEAN CLAUDE CARLE",1.77219230266072,"IVAN RENAR",0.462594839080353
40,"THIERRY REPENTIN",48,"ANDRE LARDEUX",8.73784246800152,"JEAN PIERRE MICHEL",1.74955533561146,"VALERIE LETARD",0.461097959952506
41,"JEAN PIERRE GODEFROY",47,"JEAN PAUL ALDUY",8.70197000603071,"ALAIN FOUCHE",1.74637624625803,"JEAN YVES AUTEXIER",0.450994081630896
42,"ANDRE VALLET",44,"MICHELLE DEMESSINE",8.63406139866757,"PATRICE GELARD",1.73373909871941,"GERARD CAM",0.449942451985607
43,"YANNICK BODIN",44,"MARIE FRANCE BEAUFILS",8.63291861817848,"JACQUES OUDIN",1.72433333093132,"BERNARD VERA",0.447413491047698
44,"JEAN MARC PASTOR",41,"GUY FISCHER",8.10418115337369,"MICHEL BILLOUT",1.71807234910683,"PIERRE BIARNES",0.445651383330183
45,"YVES DETRAIGNE",40,"CLAUDE SAUNIER",8.09367002923121,"HENRI RAINCOURT",1.6811897354331,"ANDRE DULAIT",0.425694575131161
46,"VALERIE LETARD",39,"JEAN MARC PASTOR",7.93794991602542,"MICHEL CHARASSE",1.6701218130299,"JOSSELIN ROHAN",0.410953310686657
47,"NICOLAS ABOUT",39,"JACK RALITE",7.74580955656095,"BERNARD VERA",1.66359904463353,"ROBERT BADINTER",0.407237689270607
48,"PAULETTE BRISEPIERRE",36,"ANDRE TRILLARD",7.73184330830067,"THIERRY FOUCAUD",1.60980533017805,"MICHEL CHARASSE",0.40079585686049
49,"JEAN PAUL VIRAPOULLE",36,"ROGER BESSE",7.62045293993935,"DOMINIQUE VOYNET",1.59568163081864,"PIERRE LAFFITTE",0.396417008311572
50,"FRANCIS GIRAUD",35,"JEAN CLAUDE GAUDIN",7.53129158736792,"CLAUDE LISE",1.59438710908237,"JACQUES PELLETIER",0.375832146427478
51,"CLAUDE BIWER",33,"GERARD LARCHER",7.29528384188486,"JEAN JACQUES HYEST",1.58636555374497,"ROGER KAROUTCHI",0.375081497541192
52,"MICHEL MERCIER",33,"ELIANE ASSASSI",7.05427374196459,"JEAN MARC PASTOR",1.53685485047142,"DOMINIQUE VOYNET",0.374300467357456
53,"ANDRE VANTOMME",33,"JACQUES LEGENDRE",7.01106982966246,"BERNARD PLASAIT",1.51954225352113,"JEAN PAUL AMOUDRY",0.372632419238591
54,"PHILIPPE ARNAUD",33,"MICHEL CHARASSE",6.95942041968058,"SERGE LEPELTIER",1.51282262041756,"ROBERT HUE",0.357334379746386
