"rank","a00.name","a00","a05.name","a05","a10.name","a10","a15.name","a15"
1,"NICOLE BORVO COHEN SEAT",196,"NICOLE BORVO COHEN SEAT",271.568007314273,"JEAN DESESSARD",401.094405693307,"FRANCOIS AUTAIN",1325.3541856521
2,"JEAN CLAUDE CARLE",170,"THIERRY REPENTIN",200.529802445359,"NICOLE BORVO COHEN SEAT",376.271339778801,"ANNIE DAVID",1163.25322976055
3,"JEAN PIERRE BEL",162,"ALIMA BOUMEDIENE THIERY",172.91465332956,"ANNIE DAVID",365.216461971635,"ELIANE ASSASSI",1058.20779082539
4,"PHILIPPE MARINI",156,"JEAN DESESSARD",162.702891110632,"FRANCOIS AUTAIN",361.97276122206,"YVES COQUELLE",989.468863365103
5,"GERARD CESAR",155,"MARIE CHRISTINE BLANDIN",160.506485849699,"ALIMA BOUMEDIENE THIERY",343.6721532883,"GUY FISCHER",989.212048793762
6,"DOMINIQUE LECLERC",152,"DOMINIQUE VOYNET",158.455705487715,"THIERRY REPENTIN",340.781370074361,"JEAN DESESSARD",988.776051736391
7,"ROLAND COURTEAU",149,"JEAN PIERRE GODEFROY",155.751547838089,"ELIANE ASSASSI",339.680006021978,"JOSIANE MATHON POINAT",874.382692620839
8,"LADISLAS PONIATOWSKI",149,"JEAN PIERRE SUEUR",139.537388142538,"MARIE CHRISTINE BLANDIN",334.575740257397,"MARIE CHRISTINE BLANDIN",697.423069081513
9,"CATHERINE PROCACCIA",147,"NICOLE BRICQ",136.77823335508,"GUY FISCHER",330.821332328522,"GELITA HOARAU",683.720200397777
10,"HUGUES PORTELLI",146,"ROLAND COURTEAU",132.281421304862,"DOMINIQUE VOYNET",285.32057501829,"ALIMA BOUMEDIENE THIERY",683.056910860573
11,"CHARLES REVET",141,"DANIEL RAOUL",121.760445028841,"JOSIANE MATHON POINAT",284.124130731104,"ROLAND MUZEAU",581.778624945387
12,"JEAN MARC PASTOR",141,"SERGE LAGAUCHE",116.736481687488,"GELITA HOARAU",226.933673693456,"EVELYNE DIDIER",580.576458230443
13,"JEAN PIERRE GODEFROY",138,"ANNIE DAVID",114.663824421562,"EVELYNE DIDIER",220.947762154734,"THIERRY REPENTIN",579.125600153137
14,"BARIZA KHIARI",138,"GUY FISCHER",110.63629285255,"MARIE FRANCE BEAUFILS",201.355455783569,"NICOLE BORVO COHEN SEAT",521.343152822452
15,"PHILIPPE RICHERT",138,"GERARD CESAR",110.611294316818,"ODETTE TERRADE",197.384749807896,"ODETTE TERRADE",514.957507788228
16,"MICHEL HOUEL",135,"BERNARD CAZEAU",109.353634485623,"YVES COQUELLE",189.947727272727,"DOMINIQUE VOYNET",513.757647780497
17,"JEAN PIERRE SUEUR",134,"ELIANE ASSASSI",109.035774912499,"JACQUES MULLER",187.594282971269,"MARIE FRANCE BEAUFILS",513.173539803315
18,"NICOLE BRICQ",130,"CHARLES REVET",107.779160775427,"THIERRY FOUCAUD",180.148908338743,"JACQUES MULLER",454.20761301907
19,"CHRISTIAN CAMBON",125,"BERNARD FRIMAT",105.880932702299,"ROLAND MUZEAU",179.193181818182,"GERARD CAM",415.883025085943
20,"PHILIPPE LEROY",122,"JEAN MARC PASTOR",105.743263626547,"JEAN PIERRE GODEFROY",175.786555463482,"THIERRY FOUCAUD",408.708274152398
21,"MARCEL PIERRE CLEACH",121,"FRANCOIS AUTAIN",98.8598227441038,"GERARD CAM",171.177545791197,"BERNARD VERA",356.55078277787
22,"ISABELLE DEBRE",120,"CATHERINE PROCACCIA",96.0091166840806,"BERNARD FRIMAT",167.324953879237,"MICHELLE DEMESSINE",293.273074557067
23,"ADRIEN GOUTEYRON",119,"JOSIANE MATHON POINAT",92.3240159543178,"DANIEL RAOUL",164.728955262459,"BERNARD FRIMAT",264.425704195565
24,"THIERRY REPENTIN",118,"FRANCOIS MARC",92.1956162240846,"BERNARD VERA",150.846597112682,"MICHEL BILLOUT",244.485900162699
25,"MONIQUE CERISIER BEN GUIGA",118,"BARIZA KHIARI",92.1567043946735,"JEAN PIERRE SUEUR",145.303602161502,"JACK RALITE",236.061141342169
26,"PIERRE HERISSON",116,"RAYMONDE TEXIER",92.1492809417664,"NICOLE BRICQ",143.909885536435,"DANIEL RAOUL",222.860787798811
